video_id,meta_has_title,meta_has_description,meta_video_duration,meta_description_length,meta_description_unique_words,meta_view_count,meta_like_count,meta_comment_count,meta_subscriber_count,meta_channel_upload_count,meta_sentiment,meta_sentence_count,flesch_reading_ease,flesch_kincaid_grade_level,smog_index,gunning_fog_index,average_word_length,long_word_ratio,lexical_diversity,medical_density,medical_mention_count,medical_unique_count,rare_term_ratio_unique,rare_term_ratio_mentions,term_clustering_concentrated,term_clustering_gini,term_clustering_max_share,condition_ratio,symptom_ratio,therapy_ratio,diagnostic_ratio,medication_ratio,anatomy_ratio,location_ratio,measurement_ratio,context_ratio,activity_ratio,other_ratio,passive_voice_ratio,average_sentence_length,sentence_length_std,syntax_tree_depth,subordinate_clause_density,average_dependency_distance,pronoun_frequency,text_length,word_count
--uQR16bKD8,True,True,5563.0,35,26,1654,27,0,191000,1170,Neutral,2,-14437.97,5582.32,216.57,5727.69,1.408,0.098,0.125,0.0033881897386253,49.0,28.0,0.75,0.4285714285714285,True,0.8,1.0,0.0408163265306122,0.0,0.1224489795918367,0.0,0.0,0.2040816326530612,0.0816326530612244,0.1632653061224489,0.0,0.0,0.3877551020408163,0.394,42.69,46.18,7.15,0.006,3.93,0.148,76522.0,14427.0
-8wPY3vFR_A,True,True,291.0,59,44,3506,16,0,216000,5950,Neutral,3,41.46,11.63,14.46,13.86,1.754,0.196,0.419,0.0378912685337726,23.0,16.0,0.75,0.5217391304347826,True,0.3304347826086957,0.3478260869565217,0.0434782608695652,0.0,0.0869565217391304,0.0,0.782608695652174,0.0,0.0,0.0,0.0,0.0,0.0869565217391304,0.216,16.59,7.66,5.95,0.059,3.02,0.094,3965.0,612.0
-B-HaLGqQRM,True,True,74.0,43,38,263,0,0,7550,2528,Negative,3,-80.34,66.45,22.08,69.97,1.367,0.065,0.639,0.1941176470588235,33.0,33.0,1.0,1.0,True,0.3393939393939393,0.3333333333333333,0.0606060606060606,0.3333333333333333,0.0606060606060606,0.0,0.0,0.0,0.0,0.1212121212121212,0.0,0.1212121212121212,0.303030303030303,0.0,59.33,19.86,11.33,0.407,3.61,0.174,872.0,170.0
-DGB139NQg8,True,True,151.0,22,21,91232,287,2,67000,1102,Neutral,1,50.92,9.98,11.46,10.7,1.659,0.138,0.691,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,16.5,5.37,6.38,0.27,2.79,0.091,930.0,127.0
-DgvdrXc3ko,True,True,5349.0,100,80,1480,9,0,1100,430,Neutral,2,-10466.25,4051.28,244.29,4157.28,1.648,0.172,0.173,0.0090788727066389,96.0,88.0,0.9431818181818182,0.8645833333333334,True,0.8,1.0,0.0625,0.0,0.1666666666666666,0.0,0.0,0.0,0.0416666666666666,0.1979166666666666,0.0,0.0,0.53125,1.383,114.28,143.75,10.37,0.018,5.22,0.073,61512.0,10567.0
-F8PZyqms3U,True,True,3974.0,87,73,1692,5,0,45300,2832,Neutral,3,-10510.53,4070.62,213.65,4176.94,1.536,0.13,0.153,0.0070235383447228,74.0,54.0,0.8888888888888888,0.6486486486486487,True,0.8,1.0,0.027027027027027,0.054054054054054,0.1891891891891892,0.0,0.0135135135135135,0.0,0.0135135135135135,0.0405405405405405,0.0,0.0,0.6621621621621622,0.952,102.37,119.98,10.15,0.016,5.2,0.134,58263.0,10489.0
-O_E1UWn7uE,True,True,3493.0,31,27,940,3,0,23100,1473,Neutral,1,-9618.91,3727.14,223.72,3825.06,1.578,0.156,0.18,0.0048729911871435,47.0,40.0,0.95,0.8085106382978723,True,0.8,1.0,0.0,0.0425531914893617,0.1276595744680851,0.0,0.0212765957446808,0.0212765957446808,0.1063829787234042,0.1276595744680851,0.0,0.0212765957446808,0.5319148936170213,0.684,125.2,145.66,12.32,0.021,5.86,0.1,53865.0,9635.0
-OcOA2cE5w4,True,True,412.0,278,172,3491,56,0,17100,551,Neutral,15,-1070.92,446.58,62.5,460.45,1.39,0.094,0.333,0.0438521066208082,51.0,44.0,0.8409090909090909,0.7254901960784313,True,0.6274509803921569,0.5686274509803921,0.0784313725490196,0.1372549019607843,0.1568627450980392,0.0,0.0196078431372549,0.0196078431372549,0.0,0.0980392156862745,0.0,0.1372549019607843,0.3529411764705882,0.591,54.86,69.59,7.86,0.069,4.57,0.164,6059.0,1158.0
-QtYNPHW0mQ,True,True,211.0,85,55,89,0,0,13500,719,Neutral,6,63.93,8.1,11.54,10.79,1.508,0.126,0.444,0.0328185328185328,17.0,15.0,0.8666666666666667,0.7647058823529411,False,0.2823529411764707,0.2941176470588235,0.0588235294117647,0.0,0.1176470588235294,0.0,0.2352941176470588,0.0,0.0588235294117647,0.0588235294117647,0.0,0.0,0.4705882352941176,0.176,15.53,5.99,6.12,0.048,2.69,0.114,3054.0,520.0
-RtIaTkUhM0,True,True,1516.0,4,4,329,2,0,952,151,Neutral,1,-4401.5,1726.72,107.06,1772.89,1.371,0.075,0.176,0.0122276567363272,55.0,33.0,0.7272727272727273,0.4363636363636363,True,0.8,1.0,0.0,0.0363636363636363,0.109090909090909,0.0,0.0,0.0727272727272727,0.0181818181818181,0.0363636363636363,0.0,0.0,0.7272727272727273,0.336,36.01,54.48,6.11,0.012,3.86,0.14,22685.0,4470.0
