flesch_reading_ease,flesch_kincaid_grade_level,smog_index,gunning_fog_index,average_word_length,long_word_ratio,lexical_diversity,medical_density,medical_mention_count,medical_unique_count,rare_term_ratio_unique,rare_term_ratio_mentions,term_clustering_concentrated,term_clustering_gini,term_clustering_max_share,condition_ratio,symptom_ratio,therapy_ratio,diagnostic_ratio,medication_ratio,anatomy_ratio,location_ratio,measurement_ratio,context_ratio,activity_ratio,other_ratio,passive_voice_ratio,average_sentence_length,sentence_length_std,syntax_tree_depth,subordinate_clause_density,average_dependency_distance,pronoun_frequency,video_id,text_length,word_count
-346.6,163.71,47.38,169.66,1.611,0.146,0.535,0.2291169451073985,96,77,0.8961038961038961,0.71875,False,0.1500000000000001,0.28125,0.0625,0.0520833333333333,0.3645833333333333,0.0,0.1770833333333333,0.0104166666666666,0.03125,0.0416666666666666,0.0,0.0208333333333333,0.2395833333333333,1.0,430.0,0.0,14.0,0.95,6.8,0.109,fKyzKlYGZhA,2612,421
40.35,12.12,14.99,15.83,1.751,0.238,0.436,0.0,0,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,16.96,8.03,6.14,0.063,2.78,0.141,McEpJ7Dm1Rw,3056,474
-8238.06,3194.69,221.64,3278.59,1.669,0.179,0.211,0.0080393568514518,67,55,0.8727272727272727,0.7164179104477612,True,0.8,1.0,0.1492537313432835,0.0597014925373134,0.0,0.0,0.0,0.0,0.5074626865671642,0.044776119402985,0.0,0.0,0.2388059701492537,1.804,184.24,363.55,9.83,0.037,8.23,0.082,cWbZbyLmY5Q,50280,8328
-1053.41,435.2,81.46,448.62,1.615,0.17,0.397,0.0670840787119856,75,59,0.847457627118644,0.6666666666666666,True,0.5760000000000001,0.5066666666666667,0.0,0.08,0.72,0.0,0.0266666666666666,0.0,0.0,0.0666666666666666,0.0,0.0,0.1066666666666666,4.0,376.67,335.51,15.0,0.533,7.35,0.09,24v2zQHZUAE,6768,1119
82.86,5.37,9.73,8.06,1.288,0.069,0.377,0.0254668930390492,15,15,1.0,1.0,True,0.5866666666666667,0.5333333333333333,0.2,0.2666666666666666,0.0,0.0,0.0,0.0666666666666666,0.0,0.1333333333333333,0.0,0.2,0.1333333333333333,0.091,13.66,8.36,4.52,0.037,3.29,0.181,wKAl0kmasxg,2955,578
86.97,4.16,7.55,6.85,1.27,0.049,0.508,0.032520325203252,4,1,0.0,0.0,False,0.1999999999999999,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,11.33,9.13,5.33,0.143,2.84,0.191,vXxVFIgNTCE,643,124
72.1,7.18,11.28,10.36,1.4,0.106,0.433,0.0354131534569983,21,20,0.95,0.9047619047619048,True,0.6095238095238096,0.7142857142857143,0.0476190476190476,0.0476190476190476,0.0,0.0,0.0,0.0,0.0476190476190476,0.0,0.0,0.0952380952380952,0.7619047619047619,0.098,15.24,11.11,5.29,0.064,2.97,0.155,jRivbMime1s,3158,592
-2981.72,1182.38,80.83,1214.83,1.313,0.061,0.24,0.0267396907216494,83,76,0.9210526315789472,0.8433734939759037,True,0.8,1.0,0.0120481927710843,0.1927710843373494,0.144578313253012,0.0,0.0,0.0240963855421686,0.0120481927710843,0.0481927710843373,0.0,0.036144578313253,0.5301204819277109,0.181,38.77,43.19,7.12,0.028,3.62,0.19,QapEAECWcJY,15469,3082
-584.09,256.95,57.92,266.35,1.515,0.141,0.41,0.154191616766467,103,77,0.8701298701298701,0.6504854368932039,True,0.3728155339805825,0.3398058252427184,0.029126213592233,0.0776699029126213,0.1553398058252427,0.0,0.2135922330097087,0.058252427184466,0.0097087378640776,0.0388349514563106,0.0,0.0,0.4174757281553398,1.333,228.0,130.23,19.33,0.45,4.06,0.133,U8ZVlKI_yoA,3793,666
-231.1,120.77,40.59,126.22,1.541,0.142,0.545,0.1877022653721682,58,49,0.8367346938775511,0.7068965517241379,False,0.0344827586206897,0.2241379310344827,0.0344827586206896,0.0862068965517241,0.4482758620689655,0.0,0.0,0.0172413793103448,0.0517241379310344,0.0862068965517241,0.0,0.0,0.2758620689655172,0.5,161.5,112.43,14.5,0.727,4.33,0.127,o1XNQs21gGA,1835,309
80.56,6.45,11.6,8.99,1.279,0.058,0.296,0.0163511187607573,19,19,1.0,1.0,True,0.736842105263158,0.8421052631578947,0.0526315789473684,0.1052631578947368,0.2631578947368421,0.0,0.0,0.0526315789473684,0.0,0.0,0.0,0.0,0.5263157894736842,0.029,17.47,14.47,5.21,0.027,3.69,0.202,y52itv5tpDI,5816,1154
-247.62,130.27,32.81,135.93,1.389,0.081,0.515,0.1775147928994082,60,50,0.86,0.7166666666666667,False,0.1200000000000001,0.2333333333333333,0.0166666666666666,0.0166666666666666,0.2,0.0,0.0833333333333333,0.0166666666666666,0.1166666666666666,0.0,0.0,0.1333333333333333,0.4166666666666667,2.5,176.5,149.2,13.5,0.769,5.0,0.161,obss0_8xIBs,1858,334
64.21,9.1,11.28,11.27,1.454,0.102,0.479,0.0246305418719211,15,13,0.9230769230769232,0.8,True,0.4533333333333333,0.4666666666666667,0.2,0.0666666666666666,0.1333333333333333,0.0,0.0,0.1333333333333333,0.0666666666666666,0.0,0.0,0.0,0.4,0.226,20.1,10.73,6.65,0.067,3.44,0.151,zgb8yOYYc68,3409,607
-14536.41,5619.15,227.24,5765.44,1.456,0.107,0.113,0.0033023735810113,48,28,0.7857142857142857,0.4583333333333333,True,0.8,1.0,0.0208333333333333,0.0,0.3125,0.0,0.0,0.3125,0.0833333333333333,0.0,0.0,0.0,0.2708333333333333,1.802,172.7,180.17,12.13,0.025,5.6,0.142,_48-eWGtSZ8,79472,14493
52.82,10.3,33.38,12.68,1.607,0.161,0.238,0.0026565464895635,14,13,0.9230769230769232,0.8571428571428571,True,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.0,0.0714285714285714,0.0,0.0,0.5714285714285714,0.336,17.95,7.94,6.28,0.007,2.95,0.098,HGeInTptfyU,31748,5261
-1764.77,710.06,93.09,730.12,1.541,0.137,0.322,0.0427397260273972,78,59,0.847457627118644,0.6410256410256411,True,0.6820512820512821,0.7051282051282052,0.0128205128205128,0.0128205128205128,0.2948717948717949,0.0,0.0256410256410256,0.0512820512820512,0.2051282051282051,0.0,0.0,0.0128205128205128,0.3846153846153846,4.857,263.0,235.01,17.0,0.351,7.35,0.099,u8FgQdrUX8w,10469,1823
-3877.06,1527.12,84.92,1568.66,1.278,0.052,0.187,0.0139546473959631,56,48,0.875,0.75,True,0.8,1.0,0.0714285714285714,0.1071428571428571,0.0892857142857142,0.0,0.0535714285714285,0.0178571428571428,0.0535714285714285,0.0892857142857142,0.0,0.0,0.5178571428571429,0.205,27.72,30.14,6.04,0.013,3.5,0.219,yv_6ana0Pws,19483,3948
-9755.54,3781.72,197.87,3881.04,1.478,0.12,0.149,0.0076429226536227,75,52,0.7692307692307693,0.5333333333333333,True,0.8,1.0,0.0133333333333333,0.0,0.1866666666666666,0.0,0.0,0.1333333333333333,0.24,0.0133333333333333,0.0,0.0,0.4133333333333333,0.632,76.22,105.05,9.11,0.012,4.85,0.131,RLz_PVzRb8o,54615,9787
-207.69,113.53,34.94,118.56,1.456,0.108,0.523,0.256140350877193,73,63,0.9047619047619048,0.7808219178082192,False,0.1479452054794521,0.2602739726027397,0.0,0.0958904109589041,0.273972602739726,0.0,0.0136986301369863,0.0410958904109589,0.0136986301369863,0.0958904109589041,0.0,0.0684931506849315,0.3972602739726027,0.5,144.0,200.82,8.0,0.472,4.89,0.115,lGktTbcUu3E,1637,287
70.44,6.97,11.34,8.5,1.442,0.087,0.432,0.0195258019525801,14,9,0.6666666666666666,0.4285714285714285,True,0.6571428571428573,0.7142857142857143,0.4285714285714285,0.1428571428571428,0.0714285714285714,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.2142857142857142,0.077,14.54,10.67,5.04,0.033,3.05,0.165,wle7zKNkg40,3901,717
23.36,26.89,11.21,27.79,1.353,0.029,0.647,0.1714285714285714,12,12,1.0,1.0,True,0.2666666666666666,0.3333333333333333,0.0,0.1666666666666666,0.0833333333333333,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0833333333333333,0.5833333333333334,0.0,18.5,12.45,6.0,0.381,2.45,0.203,ZXqnSAxv99M,351,70
-60.13,55.93,22.92,58.39,1.5,0.087,0.638,0.2167832167832167,31,27,0.925925925925926,0.8064516129032258,False,0.1419354838709678,0.2580645161290322,0.0,0.0,0.1290322580645161,0.0,0.0,0.032258064516129,0.032258064516129,0.1612903225806451,0.0,0.0,0.6451612903225806,2.0,146.0,0.0,16.0,0.833,3.75,0.068,_PxV6FPN9XU,756,142
47.03,10.67,12.46,11.78,1.697,0.152,0.43,0.0380952380952381,20,13,0.6153846153846154,0.4,True,0.52,0.55,0.15,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.091,16.36,7.96,6.0,0.043,3.28,0.069,D0RxVf_AkMM,3263,537
