video_id,label_AI,is_predicted_AI,label_human,is_predicted_human,Recommendation_gpt_5
0H_xTEHRK0g,0,0,1,0,1
1KceELBEzgw,0,0,1,0,1
1hKkuOSe2vw,1,0,1,0,1
4CCA9ojRAoU,1,0,1,0,1
7rDt5QGWZf0,1,0,0,0,1
9_VsEs_T1hA,1,0,1,0,1
AUMTTZ5aVIQ,1,0,1,0,1
HJCRWBLEWAM,1,0,1,0,1
JNjH39gHIww,0,0,1,0,1
MhXkknPC_vc,1,0,1,0,1
SsXXGYdBdGk,1,0,0,0,1
WA2U293-GRg,1,0,0,0,1
X5HxpB8u0h8,1,0,1,0,1
a7gJ73YIz40,1,0,1,0,1
bvCRH0A6kxY,1,0,0,0,1
kv3PN9sti9Y,1,0,1,0,1
lGktTbcUu3E,1,0,1,0,1
lvSks9_fu0A,1,0,0,0,1
obss0_8xIBs,1,0,1,0,1
pn7x1GLjyoE,1,0,1,0,1
szMgN68kijg,1,0,1,0,1
zgb8yOYYc68,0,0,0,0,1
-QtYNPHW0mQ,0,0,0,0,1
-y6JiLg201w,1,0,1,1,1
03jZdOzvjSc,1,0,0,0,1
07wh0brpo4Y,1,0,1,1,1
0P6_5xqg2Wg,1,0,1,1,1
14m0iXpHVAU,1,0,1,0,1
18bGEw0uyAU,1,0,1,1,1
19KrsHv1OQw,1,0,0,0,1
1G5Kkl_xjFY,1,0,1,0,1
1IauflS1rR0,0,0,1,0,1
1PtxaxcPnGc,0,0,0,0,1
1oAlSo_hjl4,0,0,1,1,1
24v2zQHZUAE,0,0,1,0,1
2zy9LV6ARSI,1,0,0,0,1
30O9u8iC51g,1,0,1,0,1
4nRfuf13vS4,1,0,1,1,1
4tTwjfZs3u8,1,0,1,0,1
52eMwhf8UfI,1,0,1,1,1
63KXp9pZzRA,1,0,1,1,1
6JFWJg3zK_c,1,0,1,1,1
6zP1g_Y_wSo,1,0,0,0,1
7mLsUVfrLsU,1,0,1,1,1
8d5q835TOok,1,0,1,1,1
8uLx9drXbkA,1,0,0,0,1
8ufoR2cQ04g,1,0,1,0,1
8zo5F5CBAuw,1,0,1,1,1
98qvFKR8OmQ,1,0,1,0,1
9ARbCXTd8Xk,1,0,1,1,1
9ItbKVrDOtQ,1,0,1,0,1
9WAD1YM5R14,1,0,1,0,1
9p1Erx1aaTg,1,0,1,1,1
AInty1Lqt38,1,0,1,1,1
ANkwvm5FTM4,1,0,1,1,1
B5V1u1hw-So,1,0,1,1,1
Bm20QPadcYY,1,0,1,1,1
Budd2Zal5yo,1,0,1,1,1
CNNDf8mfm5U,1,0,1,1,1
COgIvTpH8gA,1,0,1,1,1
Cw5L0dNvzOU,1,0,1,1,1
D0RxVf_AkMM,1,0,1,1,1
DZcIPQH3KGw,0,0,1,1,1
DgJMRaz3xrM,1,0,1,1,1
DjTC8drkMEE,0,0,1,0,1
E9Dnyym6a94,0,0,0,0,1
EK7Fq2gkFrQ,0,0,1,1,1
FOe0sdZY9pw,1,0,1,1,1
FX81RhxachU,0,0,1,1,1
Fswo4AeJIhs,1,0,1,1,1
GJ_g6aDAx9k,0,0,1,0,1
GYW_SJI7ZM8,1,0,1,1,1
GuC9g07ibOA,1,0,1,1,1
HBeaaPlf3RA,1,0,1,1,1
HGeInTptfyU,1,0,1,0,1
HTGtbOJwpvE,1,0,1,1,1
HggDQUjOnDQ,0,0,0,0,1
Hjnd67MKhy0,1,0,1,0,1
IZY8JJVtZZI,1,0,1,1,1
Iiahn13BpYc,1,0,1,1,1
IkBMQ2QTmfc,1,0,1,0,1
IqRI-xmfaEI,0,0,1,1,1
JgNVhHRw3tc,1,0,1,1,1
JpK-Dm9Nfvs,1,0,0,1,1
K-eWKuRYTqI,1,0,1,1,1
Ke-PedBEhpk,1,0,1,0,1
L12Pkx92_jI,1,0,1,1,1
L93yQnr7u3c,1,0,1,1,1
Lp1eghw7_7Q,1,0,1,0,1
LpiytTB4ZG4,1,0,1,0,1
M8vbbBJOMN0,0,0,1,1,1
MeSYFx7ends,1,0,1,0,1
Mx6V-iaAB38,1,0,1,1,1
OxxUAx0Xd6o,1,0,1,1,1
PT5cFR296-w,0,0,1,1,1
PdMJ9HYxkck,1,0,1,1,1
Q75-R4EMtZI,1,0,0,0,1
QPj6e1aqiB0,1,0,1,0,1
QXOLqAlW1SM,1,0,1,1,1
QapEAECWcJY,1,0,1,0,1
RLz_PVzRb8o,1,0,1,0,1
Ra_OdIPXdqE,1,0,1,0,1
RiP3m1Cyb1s,1,0,1,1,1
S3CegUhEd7Y,1,0,1,0,1
SVO_Ud-glMU,1,0,1,1,1
SW4AAakdQaw,1,0,1,1,1
SdH-IhgHD8U,1,0,1,0,1
ShQNrFfEYYs,1,0,1,0,1
Sjb_4xlY5qc,1,0,1,1,1
T-qbU2zTxnY,1,0,1,1,1
T0laUsimLXY,1,0,1,1,1
TPvySQ_2Zdw,1,0,1,1,1
TelxHyKXGgw,1,0,1,0,1
