video_id,Category_gpt_5,Recommendation_gpt_5,is_understandable,PEMAT Score,LLM Ranking,label_AI,is_predicted_AI,label_human,is_predicted_human
fKyzKlYGZhA,Patient education - post surgery,1,1.0,0.7142857143,0.7857142857,1.0,0.0,1.0,0.0
McEpJ7Dm1Rw,Patient education - consideration,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0
24v2zQHZUAE,Patient education - post surgery,1,0.0,0.5714285714,0.4285714286,0.0,0.0,1.0,0.0
U8ZVlKI_yoA,Patient education - post surgery,1,1.0,0.4285714286,0.5714285714,1.0,0.0,1.0,0.0
o1XNQs21gGA,Patient Education - waitlist,1,1.0,0.7142857143,0.7857142857,1.0,0.0,1.0,0.0
obss0_8xIBs,Patient education - post surgery,1,1.0,0.4285714286,0.5714285714,1.0,0.0,1.0,0.0
u8FgQdrUX8w,Patient education - surgery,1,1.0,1.0,1.0,,,,
lGktTbcUu3E,Patient education - post surgery,1,1.0,0.7142857143,0.7857142857,1.0,0.0,1.0,0.0
D0RxVf_AkMM,Patient education - consideration,1,1.0,0.8571428571,0.8928571429,1.0,0.0,1.0,1.0
ofLDgqgnzlg,Patient Education - waitlist,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0
9ItbKVrDOtQ,Patient education - post surgery,1,1.0,0.8571428571,0.8928571429,1.0,0.0,1.0,0.0
1G5Kkl_xjFY,Patient education - post surgery,1,1.0,0.8571428571,0.8928571429,1.0,0.0,1.0,0.0
uag1jIEuKTw,Patient education - post surgery,1,1.0,0.7142857143,0.7857142857,1.0,0.0,1.0,0.0
cVSSdly_m7A,Patient education - evaluation,1,1.0,0.4285714286,0.5714285714,1.0,0.0,1.0,0.0
E9Dnyym6a94,Patient education - consideration,1,0.0,0.7142857143,0.5357142857,0.0,0.0,0.0,0.0
kv3PN9sti9Y,Patient education - evaluation,1,1.0,0.8571428571,0.8928571429,1.0,0.0,1.0,0.0
