video_id,Category_gpt_5,Recommendation_gpt_5,is_understandable,PEMAT Score,LLM Ranking,label_AI,is_predicted_AI,label_human,is_predicted_human,PEMAT_norm,final_score,category_rank
DgJMRaz3xrM,Patient education - consideration,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.01,0.8514999999999999,1
x49Yje5VGbc,Patient education - consideration,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.01,0.8514999999999999,2
D0RxVf_AkMM,Patient education - consideration,1,1.0,0.8571428571,0.8928571429,1.0,0.0,1.0,1.0,0.008571428571,0.85128571428565,3
a7gJ73YIz40,Patient education - consideration,1,1.0,0.8571428571,0.8928571429,1.0,0.0,1.0,0.0,0.008571428571,0.85128571428565,4
yZ2jdYoZeFw,Patient education - consideration,1,1.0,0.8571428571,0.8928571429,1.0,0.0,1.0,1.0,0.008571428571,0.85128571428565,5
QPj6e1aqiB0,Patient education - consideration,1,1.0,0.8571428571,0.8928571429,1.0,0.0,1.0,0.0,0.008571428571,0.85128571428565,6
dZYwuIwcIZE,Patient education - consideration,1,1.0,0.8571428571,0.8928571429,1.0,1.0,1.0,1.0,0.008571428571,0.85128571428565,7
qRw4d4i1ZGU,Patient education - consideration,1,1.0,0.8571428571,0.8928571429,1.0,0.0,1.0,1.0,0.008571428571,0.85128571428565,8
Ig_M3CQMcRM,Patient education - consideration,1,1.0,0.8571428571,0.8928571429,1.0,1.0,1.0,1.0,0.008571428571,0.85128571428565,9
52eMwhf8UfI,Patient education - consideration,1,1.0,0.8571428571,0.8928571429,1.0,0.0,1.0,1.0,0.008571428571,0.85128571428565,10
w79YUSOhPWI,Patient education - consideration,1,1.0,0.8571428571,0.8928571429,1.0,1.0,1.0,1.0,0.008571428571,0.85128571428565,11
NeqmyJ_TK2U,Patient education - consideration,1,1.0,0.7142857143,0.7857142857,1.0,1.0,1.0,1.0,0.007142857143,0.85107142857145,12
mks84XYGzWQ,Patient education - consideration,1,1.0,0.7142857143,0.7857142857,1.0,1.0,1.0,1.0,0.007142857143,0.85107142857145,13
Xsuvh6tCMUM,Patient education - consideration,1,1.0,0.7142857143,0.7857142857,1.0,1.0,1.0,1.0,0.007142857143,0.85107142857145,14
