video_id,entity_total,count_therapeutic_procedure,count_detailed_description,count_coreference,count_family_history,count_lab_value,count_quantitative_concept,count_diagnostic_procedure,count_outcome,count_sign_symptom,count_time,count_disease_disorder,count_biological_structure,count_nonbiological_location,count_clinical_event,count_medication,count_subject,count_duration,count_date,count_other_event,count_frequency,count_personal_background,count_age,count_activity,count_history,count_occupation,count_other_entity,count_dosage,count_sex,count_administration,count_severity,count_volume
DgJMRaz3xrM,74,15.0,11.0,20.0,1.0,6.0,2.0,7.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x49Yje5VGbc,41,15.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,5.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1KceELBEzgw,85,6.0,12.0,4.0,0.0,11.0,0.0,2.0,0.0,18.0,0.0,9.0,18.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m7qMAZ4ALKU,52,10.0,11.0,2.0,0.0,1.0,0.0,4.0,0.0,5.0,0.0,3.0,2.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sp6736obyBg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1xVsO9MyRC4,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rVyQbCtRKeA,73,14.0,11.0,6.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,6.0,10.0,8.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zREox08QmM0,36,9.0,4.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jPSl50VPOHI,55,15.0,16.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,5.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4UUyBAeVmQk,62,18.0,15.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,10.0,0.0,7.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oNSWObWncA8,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V0yazJUTlb4,57,11.0,10.0,7.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,8.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mu72saPZV6U,87,0.0,16.0,15.0,1.0,21.0,0.0,4.0,0.0,7.0,0.0,11.0,0.0,6.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iPyVe4jx7rI,43,5.0,15.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,6.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13X23gF0K_4,8,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f-Uf0XUMqO0,7,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ojpeeno-ppg,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Svuy0sjpP2A,56,11.0,11.0,1.0,3.0,1.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,9.0,3.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
