video_id,entity_total,count_diagnostic_procedure,count_therapeutic_procedure,count_disease_disorder,count_sign_symptom,count_outcome,count_coreference,count_detailed_description,count_lab_value,count_time,count_clinical_event,count_nonbiological_location,count_duration,count_medication,count_subject,count_activity,count_frequency,count_date,count_biological_structure,count_shape,count_quantitative_concept,count_occupation,count_severity,count_other_event,count_sex,count_age,count_history,count_family_history
tUZaEuBnycc,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q88c7drpQrw,52,5.0,4.0,2.0,11.0,1.0,1.0,3.0,2.0,1.0,3.0,4.0,6.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oc6vCBmvrzk,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19KrsHv1OQw,90,1.0,14.0,9.0,2.0,1.0,15.0,31.0,1.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3CegUhEd7Y,26,1.0,0.0,7.0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9p1Erx1aaTg,41,0.0,9.0,1.0,6.0,0.0,3.0,2.0,1.0,0.0,1.0,5.0,4.0,5.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XszJGQzTb40,24,3.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UOe4tcUhbQI,28,2.0,5.0,0.0,2.0,0.0,1.0,3.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
68XsPhyMEZA,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZCpSiSS0Yv4,23,0.0,8.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tl7iYSl8HjE,12,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4Zxvm3MSb8k,23,0.0,0.0,1.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4L4FrsM6kFM,59,3.0,9.0,6.0,11.0,1.0,10.0,2.0,4.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
QCe8XZqlGNg,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zrwWJL1iDug,71,7.0,7.0,12.0,5.0,0.0,4.0,7.0,7.0,0.0,3.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3ID0wHwGDSY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3aUEf7VZLas,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
idX2wd0HY30,70,6.0,23.0,2.0,1.0,0.0,0.0,8.0,7.0,0.0,3.0,15.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BWzLIXx50Jo,60,2.0,1.0,7.0,3.0,0.0,0.0,9.0,7.0,6.0,1.0,6.0,3.0,0.0,4.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
HggDQUjOnDQ,78,5.0,1.0,1.0,8.0,1.0,1.0,13.0,10.0,11.0,2.0,11.0,1.0,1.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0
L9urG01PmmA,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423GoR_79Xg,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_VvXw6YZQTQ,43,1.0,0.0,4.0,0.0,0.0,14.0,10.0,1.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swnEQYLH9VU,19,0.0,0.0,0.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h8XjBVpItwU,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pke1WhLNoHc,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ihUxhJGvnWM,88,1.0,12.0,2.0,5.0,0.0,13.0,7.0,6.0,0.0,6.0,7.0,6.0,6.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
MhXkknPC_vc,65,6.0,29.0,1.0,2.0,0.0,3.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
iWSewFlU6o8,79,0.0,19.0,6.0,1.0,0.0,22.0,9.0,3.0,0.0,1.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
7YRFE8tg-gY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zPXphpl7gco,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pn7x1GLjyoE,77,9.0,22.0,14.0,0.0,0.0,9.0,4.0,2.0,0.0,4.0,2.0,2.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
xUV0eKlDJcY,46,1.0,6.0,9.0,0.0,1.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,7.0,2.0,0.0,0.0,1.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0
g_hLjh6Iia4,56,2.0,4.0,2.0,3.0,0.0,13.0,4.0,6.0,0.0,0.0,6.0,2.0,0.0,5.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
7rDt5QGWZf0,100,4.0,16.0,27.0,5.0,1.0,1.0,13.0,4.0,0.0,0.0,4.0,4.0,1.0,3.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,2.0
9tt-HuJRIIQ,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GeMEopvNJUM,88,2.0,16.0,6.0,11.0,1.0,1.0,12.0,8.0,0.0,2.0,9.0,3.0,1.0,7.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
fPyS5ma_7rM,68,1.0,36.0,6.0,2.0,1.0,1.0,4.0,2.0,0.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jhu6OI9AWgY,57,2.0,5.0,1.0,0.0,0.0,18.0,17.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9B30ZUzpXwU,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CqeNdL_qJEg,51,5.0,6.0,9.0,0.0,0.0,6.0,6.0,11.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gt-AVLJGYnA,83,8.0,3.0,12.0,5.0,0.0,2.0,16.0,6.0,0.0,3.0,3.0,1.0,2.0,6.0,1.0,1.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
QPj6e1aqiB0,104,2.0,33.0,20.0,2.0,0.0,13.0,14.0,4.0,0.0,0.0,2.0,3.0,4.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
w4iz4OTCySM,18,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
aS3XEPPfNtU,54,5.0,7.0,7.0,0.0,0.0,6.0,3.0,1.0,2.0,2.0,2.0,6.0,1.0,1.0,0.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JXFNPGefVWQ,42,6.0,8.0,1.0,2.0,1.0,3.0,3.0,8.0,0.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2n4gXcZ1CMc,62,4.0,7.0,4.0,4.0,1.0,11.0,8.0,5.0,0.0,1.0,6.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
gOLAVmFflgg,26,0.0,5.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
YZ6G_ubc7BQ,41,3.0,8.0,0.0,0.0,0.0,5.0,6.0,0.0,2.0,3.0,6.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
VpSQoQK_Wek,36,0.0,6.0,8.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,2.0,4.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0
