video_id,entity_total,count_history,count_disease_disorder,count_detailed_description,count_therapeutic_procedure,count_time,count_biological_structure,count_subject,count_nonbiological_location,count_other_event,count_occupation,count_activity,count_diagnostic_procedure,count_family_history,count_coreference,count_clinical_event,count_date,count_outcome,count_duration,count_sign_symptom,count_severity,count_lab_value,count_age,count_dosage,count_frequency,count_qualitative_concept,count_sex,count_medication,count_administration,count_other_entity
JS0-opsKPPw,12,2.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84yjo_SqvVA,71,3.0,7.0,12.0,4.0,0.0,5.0,7.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6obZRepfzGY,104,1.0,5.0,16.0,8.0,0.0,5.0,5.0,3.0,1.0,2.0,1.0,10.0,1.0,4.0,2.0,1.0,4.0,3.0,15.0,1.0,10.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0
SuHkwjqlGEg,14,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
HJCRWBLEWAM,84,0.0,0.0,5.0,6.0,0.0,12.0,0.0,9.0,0.0,0.0,0.0,6.0,0.0,2.0,14.0,3.0,0.0,1.0,3.0,0.0,2.0,0.0,1.0,13.0,0.0,0.0,6.0,1.0,0.0
0UvOSHJz7U0,64,0.0,4.0,6.0,9.0,0.0,3.0,8.0,10.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,4.0,0.0,3.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98qvFKR8OmQ,18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,10.0,0.0,0.0
h6l3CB3boLA,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ_g6aDAx9k,30,0.0,4.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
rwFOG_rk4Nk,75,1.0,4.0,3.0,22.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,2.0,5.0,0.0,0.0,1.0,9.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
