video_id,entity_total,count_lab_value,count_clinical_event,count_activity,count_occupation,count_other_event,count_subject,count_coreference,count_detailed_description,count_diagnostic_procedure,count_history,count_disease_disorder,count_sex,count_sign_symptom,count_date,count_therapeutic_procedure,count_nonbiological_location,count_outcome,count_age,count_severity,count_time,count_duration,count_biological_structure,count_quantitative_concept,count_medication,count_other_entity,count_frequency,count_family_history,count_dosage,count_area,count_personal_background,count_administration,count_color,count_qualitative_concept
GUcpQMuxskY,48,4.0,2.0,2.0,1.0,1.0,11.0,7.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kriob0nAuyU,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2_yNxYmewU,55,1.0,3.0,2.0,0.0,1.0,0.0,5.0,17.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0,10.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ItXLYLMrw4Y,40,0.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,10.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ePlYxTJ3w3Q,75,1.0,0.0,13.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,4.0,0.0,10.0,0.0,24.0,2.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Budd2Zal5yo,86,3.0,5.0,0.0,1.0,1.0,2.0,3.0,5.0,5.0,0.0,11.0,0.0,4.0,0.0,23.0,6.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,4.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
zjRDYdDlpiw,111,4.0,1.0,0.0,0.0,1.0,0.0,3.0,15.0,13.0,0.0,2.0,0.0,3.0,0.0,21.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,18.0,1.0,14.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
AumWr7lU0mM,94,2.0,0.0,0.0,0.0,0.0,0.0,10.0,19.0,1.0,0.0,2.0,0.0,0.0,2.0,30.0,2.0,0.0,0.0,0.0,1.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prI4kVbD7_A,52,1.0,2.0,3.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,11.0,0.0,9.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
YV9Wl3ialB0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tlvwtaPkmCU,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80oGxpEMLCM,65,3.0,4.0,0.0,0.0,1.0,0.0,8.0,11.0,9.0,0.0,2.0,0.0,1.0,3.0,12.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
mdXTf-seIYU,59,0.0,1.0,4.0,0.0,0.0,2.0,9.0,6.0,2.0,0.0,16.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AxaM-imfTZQ,69,3.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,5.0,0.0,4.0,0.0,4.0,2.0,4.0,5.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7jH19g1XMuQ,63,4.0,1.0,0.0,0.0,0.0,4.0,0.0,8.0,1.0,0.0,19.0,0.0,2.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pFv2U2EmOBk,31,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9eX0-Sy38Fk,85,0.0,0.0,0.0,0.0,0.0,13.0,1.0,16.0,0.0,0.0,19.0,0.0,1.0,0.0,15.0,1.0,0.0,1.0,1.0,0.0,5.0,3.0,3.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TXkVESiwts8,43,7.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VmMdsYC4-tc,39,0.0,4.0,0.0,0.0,0.0,7.0,1.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ccI_3nmQvkg,55,7.0,1.0,0.0,0.0,0.0,0.0,12.0,6.0,1.0,0.0,3.0,0.0,1.0,3.0,11.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9tKDNZOqA6k,39,1.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,5.0,0.0,2.0,0.0,0.0,2.0,7.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AduzVx9An_U,92,2.0,3.0,1.0,0.0,0.0,2.0,9.0,23.0,10.0,0.0,5.0,0.0,0.0,3.0,12.0,8.0,1.0,3.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
b2edo_scIpI,48,5.0,0.0,1.0,0.0,1.0,2.0,4.0,13.0,1.0,0.0,4.0,0.0,1.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
