video_id,entity_total,count_sign_symptom,count_lab_value,count_frequency,count_time,count_nonbiological_location,count_disease_disorder,count_biological_structure,count_therapeutic_procedure,count_coreference,count_outcome,count_detailed_description,count_duration,count_medication,count_diagnostic_procedure,count_date,count_administration,count_clinical_event,count_dosage,count_subject,count_family_history,count_activity,count_occupation,count_other_event,count_age,count_history,count_severity,count_quantitative_concept,count_qualitative_concept,count_distance,count_sex,count_personal_background
c2t6VMGUfWU,64,8.0,7.0,1.0,1.0,1.0,5.0,3.0,4.0,10.0,1.0,16.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fm2fxqrxz18,93,18.0,10.0,0.0,0.0,0.0,6.0,2.0,5.0,17.0,1.0,3.0,1.0,14.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7HChH-3NHQw,26,1.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7c0C1RmdsvU,33,1.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,2.0,0.0,6.0,0.0,6.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xk9_bv8Dgfk,46,0.0,0.0,0.0,6.0,1.0,0.0,0.0,3.0,12.0,0.0,18.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wIriYWb0TCo,72,13.0,3.0,0.0,0.0,3.0,4.0,2.0,7.0,0.0,0.0,11.0,1.0,1.0,8.0,2.0,0.0,4.0,0.0,9.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mx6V-iaAB38,43,6.0,2.0,0.0,2.0,1.0,0.0,0.0,5.0,5.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7WYkUta7YNw,15,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
vRcaFfLIumE,5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ju0OfsPBjtg,78,14.0,7.0,0.0,4.0,10.0,8.0,2.0,5.0,0.0,0.0,13.0,0.0,1.0,5.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
zRIEIE-sSn0,45,5.0,4.0,0.0,0.0,10.0,0.0,0.0,7.0,5.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1V55BPw5Bp8,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRHJ_0YX1M8,35,0.0,1.0,0.0,0.0,6.0,0.0,0.0,3.0,2.0,2.0,5.0,0.0,0.0,1.0,5.0,0.0,4.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
