video_id,entity_total,count_sign_symptom,count_disease_disorder,count_history,count_subject,count_detailed_description,count_therapeutic_procedure,count_date,count_occupation,count_diagnostic_procedure,count_lab_value,count_duration,count_biological_structure,count_nonbiological_location,count_coreference,count_frequency,count_activity,count_outcome,count_quantitative_concept,count_age,count_medication,count_dosage,count_time,count_administration,count_clinical_event,count_personal_background,count_family_history,count_color,count_other_event,count_volume,count_other_entity,count_severity
R-8uTWg3W_Q,8,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kpFZji9qHqU,53,1.0,4.0,1.0,2.0,14.0,9.0,1.0,2.0,4.0,4.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q7MEYaJRc1c,17,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gZRhcie__dQ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4ieT1N2B_Ww,16,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qUz-WRTzh04,33,5.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,6.0,4.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xr3-oq8VQqk,69,7.0,2.0,0.0,0.0,18.0,3.0,2.0,0.0,15.0,2.0,0.0,16.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6Xxx9qNjPwo,74,7.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,10.0,3.0,0.0,4.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,15.0,6.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TBA9bks6G5s,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03jZdOzvjSc,79,7.0,0.0,0.0,0.0,14.0,7.0,0.0,0.0,9.0,2.0,0.0,0.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,24.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6DDGrjVRevo,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
