video_id,entity_total,count_diagnostic_procedure,count_lab_value,count_therapeutic_procedure,count_biological_structure,count_nonbiological_location,count_detailed_description,count_family_history,count_coreference,count_subject,count_clinical_event,count_history,count_sign_symptom,count_disease_disorder,count_other_event,count_activity,count_occupation,count_time,count_duration,count_quantitative_concept,count_outcome,count_frequency,count_date,count_other_entity,count_personal_background,count_age,count_medication,count_sex,count_dosage,count_severity
JoRdbd-BjmA,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sW7PyNcMGy0,35,1.0,3.0,6.0,1.0,3.0,10.0,1.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v9LKiAJVIfQ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
niRTFVom1EE,27,1.0,0.0,6.0,3.0,1.0,4.0,0.0,1.0,3.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wXkjDb73mmM,76,4.0,5.0,0.0,4.0,5.0,19.0,0.0,2.0,7.0,0.0,0.0,15.0,5.0,0.0,5.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kVuEjXojqrA,59,1.0,4.0,4.0,0.0,1.0,10.0,3.0,27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lWo1ZUKjKj4,51,3.0,0.0,3.0,0.0,6.0,5.0,0.0,20.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COpe6DZjy8M,9,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lRvkg5skHRo,44,0.0,4.0,3.0,3.0,1.0,12.0,3.0,5.0,1.0,3.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YUwhlxbA6rM,45,0.0,7.0,3.0,1.0,3.0,6.0,0.0,8.0,0.0,5.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
X5HxpB8u0h8,52,3.0,0.0,13.0,4.0,10.0,6.0,0.0,3.0,7.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QfT1CWNRAhs,86,1.0,0.0,23.0,2.0,8.0,15.0,1.0,28.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
u4_OMqy01G8,47,0.0,3.0,5.0,3.0,6.0,4.0,2.0,11.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
QR_xbxJoEFY,60,1.0,6.0,9.0,0.0,1.0,9.0,2.0,19.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YJwkoX7KoOA,31,2.0,4.0,5.0,0.0,0.0,0.0,1.0,9.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CxlvqzrVpAk,60,2.0,1.0,6.0,1.0,7.0,6.0,0.0,5.0,1.0,2.0,0.0,7.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biGuwQhuAsk,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YAdBzoC0ubA,58,1.0,3.0,6.0,2.0,5.0,15.0,2.0,1.0,9.0,4.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FutbHS0BzuU,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLdj-jF2o30,44,3.0,1.0,5.0,0.0,2.0,10.0,0.0,1.0,1.0,5.0,1.0,1.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUdOOHy1p8w,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y9EwhX7uyZ0,35,2.0,3.0,3.0,1.0,1.0,9.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
vXgryOtLCV8,61,1.0,0.0,6.0,0.0,3.0,18.0,1.0,1.0,1.0,2.0,0.0,15.0,4.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3V6pHnzQV2I,50,2.0,3.0,5.0,5.0,7.0,5.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
awC12PFFUuM,59,3.0,5.0,5.0,0.0,5.0,6.0,3.0,2.0,8.0,4.0,0.0,4.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qdbVBLmpOpw,33,0.0,0.0,14.0,0.0,2.0,5.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
dANjE8Z6mbw,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j163VvTQ3q8,63,1.0,4.0,10.0,1.0,7.0,5.0,0.0,3.0,1.0,4.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
b5y-wVFruQQ,68,3.0,2.0,0.0,5.0,9.0,11.0,3.0,7.0,2.0,2.0,0.0,6.0,1.0,1.0,2.0,1.0,0.0,7.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2_M6tOdjhyU,3,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xmf4qv2lT-o,88,21.0,1.0,10.0,0.0,4.0,26.0,6.0,6.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vlkASwAkHaE,47,3.0,2.0,8.0,1.0,6.0,6.0,0.0,2.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
wxFQwyQ1mzE,7,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8EP_4kEaoPE,12,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hxgPkmy6BN4,8,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ShQNrFfEYYs,75,8.0,1.0,15.0,0.0,0.0,17.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,20.0,0.0,5.0,0.0
Y0__k58wwyk,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
q16CFwsDx1c,92,2.0,0.0,12.0,14.0,3.0,12.0,0.0,11.0,0.0,2.0,0.0,14.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Msd2axIsOwo,55,0.0,4.0,16.0,0.0,9.0,3.0,1.0,2.0,2.0,3.0,1.0,4.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
DLX_QpDoUD4,73,2.0,2.0,17.0,0.0,10.0,16.0,2.0,9.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
P3CavmnL-Nc,17,1.0,2.0,0.0,0.0,3.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qs8iH4yjVkw,10,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0H_xTEHRK0g,49,0.0,3.0,20.0,0.0,4.0,7.0,0.0,7.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
