video_id,entity_total,count_age,count_detailed_description,count_sign_symptom,count_activity,count_frequency,count_history,count_date,count_disease_disorder,count_nonbiological_location,count_therapeutic_procedure,count_clinical_event,count_severity,count_diagnostic_procedure,count_lab_value,count_biological_structure,count_coreference,count_outcome,count_subject,count_time,count_family_history,count_medication,count_duration,count_sex,count_quantitative_concept,count_distance,count_personal_background,count_dosage,count_other_event,count_color,count_occupation,count_other_entity,count_qualitative_concept
OWcJwXmUhuk,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QG52CnLXfG0,61,1.0,9.0,14.0,1.0,2.0,1.0,2.0,6.0,4.0,3.0,3.0,1.0,3.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ryne5PWA-Ro,32,2.0,7.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uiuy8ESUc3M,13,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1A51_BQpTUU,17,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gxJg1E_w0dc,62,1.0,9.0,3.0,0.0,0.0,2.0,2.0,2.0,7.0,6.0,3.0,0.0,2.0,5.0,1.0,10.0,2.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LojsVeF3Oh8,96,0.0,6.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,28.0,0.0,0.0,1.0,4.0,6.0,32.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
la_g3rjwd-g,95,0.0,14.0,0.0,0.0,0.0,1.0,0.0,24.0,2.0,18.0,0.0,0.0,3.0,14.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Yn8acPibhc8,62,0.0,9.0,6.0,0.0,2.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,4.0,0.0,1.0,6.0,0.0,2.0,4.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
VyAyufp2OAI,100,2.0,17.0,2.0,0.0,3.0,0.0,1.0,0.0,9.0,5.0,3.0,0.0,2.0,6.0,1.0,18.0,2.0,12.0,0.0,6.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CDU6aVcZ-EE,63,3.0,8.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
