video_id,entity_total,count_nonbiological_location,count_detailed_description,count_therapeutic_procedure,count_clinical_event,count_time,count_subject,count_family_history,count_coreference,count_lab_value,count_duration,count_medication,count_sign_symptom,count_frequency,count_disease_disorder,count_biological_structure,count_diagnostic_procedure,count_severity,count_quantitative_concept,count_date,count_occupation,count_history,count_activity,count_other_event,count_other_entity,count_sex,count_age,count_dosage,count_outcome,count_personal_background
9_VsEs_T1hA,7,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T-jRjQU_wN4,47,2.0,7.0,5.0,0.0,0.0,8.0,3.0,12.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mks84XYGzWQ,53,0.0,8.0,26.0,2.0,0.0,1.0,0.0,6.0,3.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G55tlheAfAg,66,2.0,20.0,3.0,0.0,0.0,6.0,0.0,4.0,4.0,4.0,0.0,5.0,0.0,6.0,3.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UkR4Y7K9Hx8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r1LhPrf7TgA,72,2.0,9.0,5.0,1.0,0.0,3.0,7.0,9.0,14.0,0.0,0.0,6.0,2.0,3.0,5.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z9NHA4W-2Ms,17,1.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YDKO2pC5B_U,38,1.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12Ec8VFBBJU,47,4.0,7.0,13.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
l3DxH4gVvWs,21,1.0,4.0,3.0,2.0,0.0,4.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1x16GljWewo,53,4.0,14.0,7.0,1.0,0.0,1.0,1.0,6.0,1.0,0.0,1.0,11.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SxJhxrfxOd8,58,6.0,8.0,10.0,2.0,0.0,0.0,0.0,11.0,2.0,5.0,4.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u836QeLwzoA,41,1.0,6.0,5.0,0.0,0.0,1.0,0.0,10.0,2.0,0.0,0.0,3.0,0.0,4.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ggug7D_Pz3A,36,1.0,7.0,5.0,0.0,0.0,0.0,6.0,6.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
fe2aFYdxYUY,62,5.0,11.0,4.0,0.0,0.0,2.0,1.0,2.0,7.0,1.0,0.0,8.0,0.0,3.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_YCL2DQWs4M,18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
C4dTWec3gU0,36,0.0,2.0,1.0,0.0,0.0,5.0,0.0,2.0,2.0,1.0,0.0,8.0,0.0,6.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
sCJSgjG_1ns,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zdY-udz9xpI,43,4.0,5.0,3.0,3.0,0.0,4.0,1.0,8.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d7ClcGL308c,52,2.0,8.0,11.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,9.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3k4Dc7saXzQ,39,5.0,13.0,4.0,1.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iEth2-tjhjY,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zOQSY5oUBqk,19,0.0,3.0,6.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UEwnXEnFqgc,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QijkFzZbKXQ,59,13.0,15.0,8.0,0.0,0.0,3.0,0.0,2.0,5.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xIBHir8y3b8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8C-exOYRY4Q,54,2.0,6.0,2.0,2.0,0.0,1.0,0.0,15.0,6.0,0.0,0.0,2.0,1.0,3.0,2.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nhx78yRIBsQ,63,5.0,15.0,13.0,1.0,0.0,1.0,3.0,3.0,3.0,2.0,0.0,3.0,2.0,2.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Xsuvh6tCMUM,8,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
