flesch_reading_ease,flesch_kincaid_grade_level,smog_index,gunning_fog_index,average_word_length,long_word_ratio,lexical_diversity,medical_density,medical_mention_count,medical_unique_count,rare_term_ratio_unique,rare_term_ratio_mentions,term_clustering_concentrated,term_clustering_gini,term_clustering_max_share,condition_ratio,symptom_ratio,therapy_ratio,diagnostic_ratio,medication_ratio,anatomy_ratio,location_ratio,measurement_ratio,context_ratio,activity_ratio,other_ratio,passive_voice_ratio,average_sentence_length,sentence_length_std,syntax_tree_depth,subordinate_clause_density,average_dependency_distance,pronoun_frequency,video_id,text_length,word_count
-476.42,215.35,51.6,223.45,1.526,0.132,0.368,0.13693693693693693,76,51,0.8823529411764706,0.5921052631578947,False,0.27368421052631575,0.2894736842105263,0.19736842105263158,0.013157894736842105,0.15789473684210525,0.0,0.06578947368421052,0.2236842105263158,0.05263157894736842,0.17105263157894737,0.0,0.0,0.11842105263157894,0.0,186.67,99.51,18.0,0.575,5.65,0.102,l--agdcsR0I,3181,554
65.81,5.67,8.14,6.41,1.59,0.12,0.614,0.04819277108433735,4,4,1.0,1.0,True,0.7,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.38,2.96,4.54,0.1,2.34,0.084,Zn9dr0Fmmsk,521,83
-488.81,223.54,41.87,231.67,1.36,0.08,0.421,0.11724137931034483,68,58,0.8793103448275862,0.75,True,0.3058823529411765,0.35294117647058826,0.04411764705882353,0.10294117647058823,0.08823529411764706,0.0,0.0,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.0,0.0,0.6470588235294118,0.125,37.25,62.13,6.12,0.103,3.91,0.156,eJCs_Rax0zY,2922,575
-36.27,48.63,22.08,52.08,1.41,0.09,0.697,0.2845528455284553,35,33,0.9393939393939394,0.8857142857142857,False,0.04571428571428582,0.22857142857142856,0.05714285714285714,0.0,0.08571428571428572,0.0,0.0,0.0,0.11428571428571428,0.14285714285714285,0.0,0.0,0.6,0.0,32.5,25.04,6.25,0.25,3.97,0.108,cNmVJENn-U4,658,123
61.33,7.19,11.21,8.0,1.6,0.2,1.0,0.1,1,1,1.0,1.0,True,0.8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,5.0,0.0,1.8,0.0,Q19yW66Ec0c,63,10
-14437.97,5582.32,216.57,5727.69,1.408,0.098,0.125,0.003388189738625363,49,28,0.75,0.42857142857142855,True,0.8,1.0,0.04081632653061224,0.0,0.12244897959183673,0.0,0.0,0.20408163265306123,0.08163265306122448,0.16326530612244897,0.0,0.0,0.3877551020408163,0.394,42.69,46.18,7.15,0.006,3.93,0.148,--uQR16bKD8,76522,14427
-26.13,45.22,18.24,47.71,1.386,0.061,0.632,0.14035087719298245,16,14,0.8571428571428571,0.75,False,0.125,0.25,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.75,0.0,58.0,74.95,8.5,0.833,3.89,0.164,7StpZ9_nq4w,612,114
-465.45,210.34,54.54,218.36,1.564,0.152,0.494,0.09392265193370165,51,46,0.9347826086956522,0.8431372549019608,True,0.36078431372549025,0.35294117647058826,0.0,0.0196078431372549,0.21568627450980393,0.0,0.0,0.0784313725490196,0.13725490196078433,0.058823529411764705,0.0,0.0,0.49019607843137253,2.0,282.0,33.94,17.5,0.702,7.56,0.138,5UYVmBsASws,3108,541
-218.64,114.81,41.02,119.85,1.598,0.154,0.465,0.11188811188811189,32,24,0.8333333333333334,0.625,False,0.08750000000000013,0.25,0.0,0.03125,0.0,0.0,0.0,0.0,0.1875,0.0625,0.0,0.0,0.71875,1.0,286.0,0.0,18.0,0.929,6.16,0.059,lD6HJ-xGB48,1697,286
39.83,15.41,16.11,18.85,1.602,0.167,0.538,0.12834224598930483,24,21,0.8571428571428571,0.75,False,0.21666666666666679,0.2916666666666667,0.08333333333333333,0.0,0.3333333333333333,0.0,0.0,0.125,0.041666666666666664,0.0,0.0,0.0,0.4166666666666667,0.167,31.5,15.32,8.5,0.293,3.77,0.106,BTNQIROSPjY,1153,187
74.4,7.17,10.05,9.22,1.359,0.077,0.38,0.019197207678883072,11,9,0.7777777777777778,0.6363636363636364,True,0.5454545454545454,0.6363636363636364,0.09090909090909091,0.0,0.2727272727272727,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.5454545454545454,0.114,17.2,9.76,5.71,0.071,3.21,0.163,xHiSpsZpMRs,3027,571
78.21,5.36,10.43,7.29,1.375,0.081,0.426,0.00975609756097561,6,6,1.0,1.0,True,0.5333333333333334,0.5,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.075,11.92,8.55,4.89,0.041,2.85,0.165,XOmD1DLucQg,3293,612
14.42,28.89,19.29,32.34,1.423,0.113,0.718,0.2535211267605634,18,18,1.0,1.0,True,0.37777777777777777,0.4444444444444444,0.05555555555555555,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.5,0.0,75.0,0.0,14.0,0.8,5.31,0.107,Br2kK9zRJvs,400,72
40.65,12.29,18.28,15.54,1.738,0.215,0.354,0.004985044865403789,5,5,1.0,1.0,True,0.8,1.0,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.4,0.245,19.43,10.94,6.58,0.034,2.99,0.089,kIqpOtzogfg,6372,1002
-188.85,104.19,32.81,107.85,1.558,0.104,0.55,0.1274131274131274,33,20,0.8,0.48484848484848486,False,0.12121212121212133,0.2727272727272727,0.0,0.0,0.36363636363636365,0.0,0.0,0.12121212121212122,0.12121212121212122,0.12121212121212122,0.0,0.0,0.2727272727272727,1.0,268.0,0.0,22.0,0.95,4.48,0.123,v1AWGBxstp4,1546,261
-149.9,88.82,36.93,93.82,1.577,0.159,0.582,0.2072072072072072,46,41,0.9024390243902439,0.8043478260869565,False,0.14782608695652177,0.2826086956521739,0.021739130434782608,0.0,0.2826086956521739,0.0,0.021739130434782608,0.021739130434782608,0.10869565217391304,0.06521739130434782,0.0,0.0,0.4782608695652174,3.0,225.0,0.0,13.0,0.938,6.42,0.08,xNyxViXrghs,1321,222
-159.65,92.17,34.94,95.76,1.596,0.136,0.504,0.15217391304347827,35,30,0.8333333333333334,0.7142857142857143,True,0.2857142857142858,0.37142857142857144,0.17142857142857143,0.02857142857142857,0.2571428571428571,0.0,0.0,0.0,0.02857142857142857,0.02857142857142857,0.0,0.0,0.4857142857142857,1.0,232.0,0.0,17.0,0.933,5.01,0.099,XLB0hqxhNLY,1372,232
-2086.73,830.49,119.37,854.36,1.7,0.195,0.319,0.03638876093965914,79,64,0.859375,0.6962025316455697,True,0.8,1.0,0.25316455696202533,0.08860759493670886,0.189873417721519,0.0,0.0,0.012658227848101266,0.02531645569620253,0.11392405063291139,0.0,0.0,0.31645569620253167,0.842,115.95,125.79,11.95,0.116,4.98,0.067,9G77To5l5Hk,13039,2167
