video_id,entity_total,count_biological_structure,count_disease_disorder,count_lab_value,count_diagnostic_procedure,count_date,count_detailed_description,count_medication,count_therapeutic_procedure,count_sign_symptom,count_nonbiological_location,count_subject,count_family_history,count_time,count_clinical_event,count_other_event,count_duration,count_coreference,count_sex,count_personal_background,count_age,count_frequency,count_quantitative_concept,count_severity,count_other_entity,count_activity,count_outcome,count_occupation,count_history
l--agdcsR0I,76,17.0,15.0,13.0,3.0,1.0,8.0,5.0,9.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zn9dr0Fmmsk,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eJCs_Rax0zY,68,2.0,3.0,2.0,0.0,0.0,16.0,0.0,6.0,7.0,4.0,1.0,0.0,6.0,5.0,1.0,2.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cNmVJENn-U4,35,0.0,2.0,5.0,0.0,0.0,8.0,0.0,3.0,0.0,4.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q19yW66Ec0c,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
--uQR16bKD8,49,10.0,2.0,8.0,1.0,4.0,8.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7StpZ9_nq4w,16,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5UYVmBsASws,51,4.0,0.0,3.0,0.0,0.0,19.0,0.0,11.0,1.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lD6HJ-xGB48,32,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,6.0,3.0,0.0,0.0,2.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTNQIROSPjY,24,3.0,2.0,0.0,0.0,0.0,6.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xHiSpsZpMRs,11,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
XOmD1DLucQg,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Br2kK9zRJvs,18,2.0,1.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
kIqpOtzogfg,5,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v1AWGBxstp4,33,4.0,0.0,4.0,1.0,0.0,3.0,0.0,11.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xNyxViXrghs,46,1.0,1.0,3.0,2.0,1.0,6.0,1.0,11.0,0.0,5.0,2.0,0.0,0.0,2.0,1.0,2.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
XLB0hqxhNLY,35,0.0,6.0,1.0,2.0,2.0,8.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9G77To5l5Hk,79,1.0,20.0,9.0,8.0,0.0,10.0,0.0,7.0,7.0,2.0,1.0,0.0,0.0,3.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
P9qRbWTr980,71,0.0,12.0,3.0,2.0,1.0,10.0,0.0,16.0,1.0,1.0,4.0,0.0,0.0,3.0,0.0,6.0,6.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8zo5F5CBAuw,10,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BeH0DTnx3kE,9,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KyhnIuouFeQ,68,3.0,7.0,0.0,10.0,2.0,13.0,1.0,10.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0
moTpKU0fEKU,24,0.0,0.0,0.0,0.0,1.0,5.0,2.0,3.0,5.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
_azwDRYItok,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ysL6kVwgS_A,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yeIap1tcWyU,9,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
NoL_BvJCROQ,69,3.0,1.0,5.0,1.0,3.0,5.0,0.0,7.0,9.0,10.0,4.0,1.0,4.0,7.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
akKsSj4j21o,64,7.0,5.0,1.0,6.0,1.0,2.0,0.0,6.0,10.0,10.0,0.0,0.0,0.0,7.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0
88h6CvWDFl4,17,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0
