video_id,entity_total,count_detailed_description,count_other_event,count_therapeutic_procedure,count_nonbiological_location,count_date,count_occupation,count_subject,count_family_history,count_diagnostic_procedure,count_frequency,count_coreference,count_time,count_activity,count_sign_symptom,count_disease_disorder,count_biological_structure,count_severity,count_quantitative_concept,count_clinical_event,count_outcome,count_history,count_duration,count_lab_value,count_medication,count_age,count_sex,count_personal_background,count_distance,count_qualitative_concept,count_other_entity,count_texture,count_shape,count_dosage,count_volume
th-oxjfpsfc,54,12.0,1.0,15.0,11.0,1.0,1.0,4.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2sQ_UkE_38,63,11.0,0.0,2.0,9.0,2.0,5.0,6.0,0.0,1.0,0.0,2.0,5.0,3.0,5.0,4.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u4e3FkT4Me0,58,10.0,0.0,7.0,4.0,5.0,1.0,1.0,0.0,1.0,3.0,7.0,6.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMkXQdu_QCg,27,4.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a8RDH7FhYJo,71,21.0,0.0,9.0,0.0,0.0,0.0,9.0,1.0,5.0,1.0,13.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL60lZ_Zn9k,52,0.0,0.0,3.0,0.0,3.0,0.0,11.0,9.0,0.0,1.0,11.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A6NgXuT5r4w,52,10.0,5.0,5.0,0.0,2.0,1.0,7.0,2.0,0.0,0.0,4.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GVMLtd8qlhk,43,11.0,0.0,3.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGcYgfmdAgI,46,8.0,0.0,7.0,2.0,0.0,0.0,2.0,3.0,4.0,1.0,1.0,4.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GjwguQgnCK0,35,16.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
puEFzAnxz_o,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
