video_id,entity_total,count_clinical_event,count_therapeutic_procedure,count_coreference,count_detailed_description,count_nonbiological_location,count_lab_value,count_diagnostic_procedure,count_date,count_age,count_medication,count_occupation,count_severity,count_disease_disorder,count_subject,count_outcome,count_duration,count_frequency,count_sex,count_activity,count_sign_symptom,count_biological_structure,count_time,count_quantitative_concept,count_other_event,count_history,count_family_history,count_personal_background
xuuQdxq6cSM,57,3.0,10.0,8.0,20.0,3.0,1.0,1.0,3.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QPGH2cP4WGQ,53,1.0,11.0,4.0,15.0,3.0,7.0,1.0,2.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zc6soBlDwW8,10,1.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uqg0B3qQzOE,13,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GM6xoBoJl3I,16,0.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3YHRys57nVI,42,3.0,13.0,7.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BYDzDjSGBy0,31,0.0,5.0,3.0,5.0,6.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
jIfo9a8dmNA,59,4.0,7.0,4.0,12.0,5.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
dnzdkcByXKo,59,4.0,6.0,7.0,16.0,5.0,1.0,6.0,2.0,0.0,3.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
_QEyo00APpA,10,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
nC2vXbWYGGE,66,3.0,13.0,8.0,10.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,11.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0
Iiahn13BpYc,12,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0Y_H9rC7HjY,63,0.0,8.0,2.0,15.0,6.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,5.0,4.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0
hzJlNXJLxWc,6,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBKPrbzDPHQ,45,3.0,6.0,6.0,4.0,10.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
kC5lnwxHH1o,58,0.0,6.0,2.0,6.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,16.0,1.0,0.0,5.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0
a3_D5cM_nUQ,74,0.0,4.0,0.0,7.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,0.0,0.0,4.0,15.0,0.0,0.0,0.0,2.0,7.0,7.0,0.0
c3d7dzmYY2A,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEQ29IUz13I,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yw6iNBV2zKI,52,2.0,3.0,7.0,27.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8eHFqkqJn2k,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
FaLTTq6LKWM,51,0.0,0.0,1.0,8.0,1.0,5.0,6.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
JW4lIySlfPo,54,1.0,4.0,20.0,18.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
QlxVHNB98zM,7,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
uadRWE8sjHQ,62,1.0,5.0,3.0,9.0,3.0,16.0,2.0,1.0,0.0,2.0,0.0,1.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
2PKtO5qgtTU,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-a4HVaw8rNE,13,0.0,1.0,0.0,2.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T9IuU6kiW5A,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FmGlGi7BCiE,43,1.0,11.0,13.0,6.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
