video_id,entity_total,count_clinical_event,count_nonbiological_location,count_detailed_description,count_coreference,count_therapeutic_procedure,count_medication,count_date,count_lab_value,count_sign_symptom,count_disease_disorder,count_age,count_outcome,count_duration,count_family_history,count_subject,count_activity,count_sex,count_diagnostic_procedure,count_history,count_biological_structure,count_time,count_other_event,count_occupation,count_severity,count_frequency,count_dosage,count_administration,count_other_entity,count_quantitative_concept,count_distance,count_area
4LAI8_eIr7g,60,1.0,7.0,6.0,19.0,8.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pDCUzL8EktQ,5,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CU10NW_Trts,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5sLIIxfENpk,63,5.0,5.0,11.0,0.0,11.0,1.0,1.0,10.0,1.0,7.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nUh1z2VN55s,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nBaT6tVEQAQ,50,0.0,0.0,14.0,1.0,5.0,1.0,1.0,4.0,8.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MdCkEOEsWkY,36,5.0,4.0,7.0,5.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lsCbw4bbb6s,40,2.0,2.0,5.0,1.0,4.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aZFU-vWp0Ts,21,2.0,2.0,3.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U2yNHKvfwiI,50,1.0,1.0,6.0,5.0,11.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SFrgUXWI6IU,47,0.0,0.0,18.0,7.0,5.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mqef5Jqjrfo,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
booeCNO8NKY,63,0.0,0.0,7.0,20.0,7.0,0.0,3.0,6.0,2.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b9CMn7YFNxo,69,1.0,1.0,14.0,8.0,4.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,15.0,3.0,0.0,0.0,0.0,0.0
65GPXjCQVr4,74,4.0,8.0,9.0,20.0,18.0,0.0,3.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kkalPNn2qGw,38,3.0,1.0,7.0,13.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WCwhYBL6GHg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WGa8albPYAU,46,0.0,7.0,6.0,1.0,4.0,0.0,4.0,3.0,8.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
