video_id,entity_total,count_time,count_clinical_event,count_nonbiological_location,count_disease_disorder,count_biological_structure,count_therapeutic_procedure,count_detailed_description,count_diagnostic_procedure,count_coreference,count_subject,count_duration,count_other_event,count_sign_symptom,count_lab_value,count_date,count_medication,count_activity,count_other_entity,count_occupation,count_age,count_history,count_outcome,count_family_history,count_sex,count_area,count_height,count_qualitative_concept,count_severity,count_personal_background,count_frequency,count_dosage,count_administration,count_distance,count_quantitative_concept
FhJc0aNd_-4,65,2.0,4.0,8.0,28.0,1.0,3.0,8.0,3.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLlPaUAFnRY,82,0.0,5.0,3.0,15.0,0.0,3.0,14.0,1.0,19.0,0.0,5.0,1.0,7.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c4UZPrBrkvo,59,0.0,0.0,10.0,15.0,1.0,12.0,13.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-gOE6NWC-r0,94,0.0,5.0,2.0,10.0,0.0,18.0,22.0,17.0,3.0,0.0,1.0,1.0,4.0,4.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GI1xcZpgacQ,59,1.0,5.0,0.0,2.0,1.0,8.0,13.0,14.0,9.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hcNH6Qfu6YE,70,2.0,1.0,3.0,25.0,0.0,1.0,11.0,3.0,3.0,0.0,1.0,1.0,15.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j-DtknJnoEg,59,0.0,2.0,0.0,12.0,1.0,0.0,7.0,6.0,2.0,1.0,3.0,0.0,11.0,8.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XnTxiYNhp8g,10,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9CNu2mauD-A,100,3.0,0.0,3.0,5.0,4.0,3.0,14.0,7.0,18.0,0.0,1.0,0.0,14.0,13.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
KQ54mmxUBXQ,83,0.0,4.0,0.0,5.0,1.0,5.0,19.0,9.0,20.0,0.0,3.0,0.0,0.0,7.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
jJfYjFQ5wvM,50,1.0,7.0,10.0,4.0,2.0,1.0,7.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MqzkuanJjRw,7,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QfDjjQ2f8HU,63,0.0,0.0,1.0,8.0,5.0,6.0,3.0,2.0,1.0,1.0,0.0,0.0,9.0,3.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
olA9HeRKAs4,82,1.0,2.0,5.0,3.0,1.0,3.0,12.0,5.0,2.0,8.0,2.0,0.0,3.0,4.0,5.0,1.0,4.0,0.0,1.0,1.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0
J0MfQRQTUWU,24,0.0,1.0,1.0,0.0,1.0,5.0,7.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
fES8U8zn-Z0,82,0.0,1.0,0.0,8.0,5.0,18.0,33.0,1.0,8.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UbMmk2VgYDU,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CnJRnAiMkZY,67,2.0,0.0,0.0,2.0,12.0,19.0,14.0,6.0,8.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
surRUZ1yAg0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cBbwWg5kqFM,10,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VrIxRfWDOm8,47,0.0,0.0,0.0,0.0,5.0,13.0,16.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
YVesMZ53WvM,23,0.0,0.0,0.0,0.0,4.0,9.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L93yQnr7u3c,75,0.0,1.0,0.0,0.0,0.0,11.0,10.0,17.0,2.0,1.0,0.0,0.0,15.0,9.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YQEAwTFytRo,16,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zflHpFRXHsg,8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RewGkXkOPto,44,0.0,2.0,1.0,1.0,0.0,5.0,3.0,0.0,29.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o4FBN9rqxDA,81,0.0,0.0,3.0,0.0,0.0,0.0,17.0,1.0,58.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6Pdbj_7rOKo,53,0.0,1.0,2.0,0.0,2.0,5.0,7.0,3.0,6.0,14.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
04ZmEPOjrw4,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
