video_id,entity_total,count_age,count_therapeutic_procedure,count_disease_disorder,count_nonbiological_location,count_detailed_description,count_coreference,count_subject,count_activity,count_date,count_time,count_biological_structure,count_frequency,count_lab_value,count_severity,count_sign_symptom,count_duration,count_sex,count_occupation,count_family_history,count_clinical_event,count_outcome,count_history,count_diagnostic_procedure,count_medication,count_personal_background,count_other_event,count_quantitative_concept,count_other_entity
TAB78Qc0tJQ,41,1.0,4.0,9.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_5RozJZeUQ,7,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E2WnbXOS4VI,3,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2VGNMvwcZ_4,7,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bikANJjzz8o,11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8xWufzfdJbA,35,2.0,2.0,1.0,5.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
BxIWsry7M5E,20,0.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8RTM3xScaWE,39,1.0,8.0,2.0,4.0,3.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0
knUgPUc-mtM,5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
pIHygTNTUXQ,46,0.0,2.0,0.0,2.0,11.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0
MX6prLdUAZo,57,0.0,7.0,6.0,3.0,9.0,4.0,3.0,0.0,3.0,1.0,1.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,4.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
4czrkm7S1Rk,66,1.0,6.0,6.0,4.0,8.0,0.0,4.0,0.0,3.0,1.0,4.0,0.0,9.0,1.0,4.0,3.0,0.0,0.0,2.0,4.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
