video_id,entity_total,count_personal_background,count_sex,count_activity,count_date,count_occupation,count_history,count_disease_disorder,count_family_history,count_detailed_description,count_nonbiological_location,count_lab_value,count_biological_structure,count_frequency,count_duration,count_therapeutic_procedure,count_diagnostic_procedure,count_coreference,count_clinical_event,count_subject,count_other_event,count_time,count_sign_symptom,count_medication,count_dosage,count_other_entity,count_severity,count_outcome,count_administration,count_age,count_quantitative_concept
ds-6u3sSui0,47,2.0,1.0,1.0,1.0,5.0,3.0,7.0,2.0,3.0,5.0,7.0,1.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gl1fRdQ4Xg0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JU-8g2x799s,58,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,3.0,2.0,0.0,3.0,0.0,12.0,2.0,15.0,3.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYoqyu4Aq1k,69,0.0,0.0,0.0,1.0,3.0,0.0,5.0,0.0,2.0,8.0,4.0,6.0,2.0,0.0,15.0,2.0,2.0,3.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REO7QameDRM,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m0gwFLSpSCU,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R0Et_b-xQbo,11,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kUBQZZS6Bfk,28,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,5.0,0.0,0.0,4.0,4.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
huXg7JJwjfQ,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,2.0,2.0,1.0,0.0,13.0,3.0,1.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285rrHITwQ8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QNtm5tKDT-s,14,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Pz-jET3Tgfc,38,0.0,0.0,7.0,2.0,0.0,0.0,1.0,0.0,15.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2ZhrOUAH-Ms,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
edZkmdG0IAQ,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tArFtF4N65g,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COgIvTpH8gA,100,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,16.0,0.0,5.0,0.0,1.0,0.0,7.0,1.0,48.0,2.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deVJLKXv64M,9,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
rLWHUMOwCg4,75,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,29.0,3.0,3.0,0.0,0.0,0.0,17.0,3.0,4.0,4.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FIYJEMZN8D8,61,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,1.0,8.0,16.0,0.0,0.0,6.0,1.0,15.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b9D1gqaFTcs,60,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,4.0,4.0,5.0,0.0,2.0,10.0,3.0,8.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RpiwRRDU8Mg,65,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,0.0,0.0,7.0,15.0,12.0,1.0,1.0,1.0,0.0,0.0,6.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
_7sAhQQmyX0,80,0.0,0.0,0.0,7.0,0.0,1.0,13.0,0.0,4.0,0.0,3.0,5.0,0.0,4.0,24.0,4.0,6.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ceUW5aIh4b0,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,4.0,0.0,1.0,0.0,6.0,10.0,6.0,0.0,0.0,0.0,1.0,8.0,18.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
_DeZLJVuWwg,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
