video_id,entity_total,count_therapeutic_procedure,count_coreference,count_sign_symptom,count_detailed_description,count_lab_value,count_disease_disorder,count_diagnostic_procedure,count_clinical_event,count_subject,count_frequency,count_duration,count_medication,count_biological_structure,count_dosage,count_time,count_nonbiological_location,count_activity,count_administration,count_other_entity,count_severity,count_quantitative_concept,count_age,count_sex,count_date,count_other_event,count_qualitative_concept,count_history,count_family_history,count_outcome,count_occupation,count_personal_background
CI64AjXkq-w,16,6.0,1.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raocyVK_IaA,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dZYwuIwcIZE,53,11.0,14.0,0.0,9.0,5.0,8.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qe8I0CZD7eM,91,10.0,3.0,2.0,14.0,0.0,8.0,8.0,0.0,0.0,7.0,0.0,36.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-_y1b3X80EA,84,4.0,1.0,8.0,7.0,15.0,2.0,8.0,1.0,0.0,2.0,4.0,16.0,3.0,3.0,4.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XgcFNAC_YZ4,28,0.0,1.0,2.0,5.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3RND7mOLvsA,44,4.0,0.0,6.0,2.0,2.0,0.0,5.0,0.0,0.0,1.0,1.0,16.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S400x_NWsHw,99,9.0,1.0,22.0,10.0,9.0,1.0,4.0,1.0,0.0,2.0,5.0,23.0,0.0,7.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GlxsdzjtFcU,81,20.0,6.0,1.0,21.0,1.0,9.0,11.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PxALYSzud2s,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
