video_id,entity_total,count_nonbiological_location,count_therapeutic_procedure,count_detailed_description,count_coreference,count_activity,count_diagnostic_procedure,count_clinical_event,count_subject,count_sign_symptom,count_occupation,count_lab_value,count_frequency,count_history,count_family_history,count_biological_structure,count_date,count_personal_background,count_disease_disorder,count_outcome,count_time,count_age,count_duration,count_other_entity,count_quantitative_concept,count_medication,count_severity,count_sex,count_other_event,count_distance,count_texture
Z7Q0JzbZeVg,58,3.0,5.0,11.0,11.0,1.0,2.0,1.0,4.0,3.0,2.0,5.0,1.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFW1-UXGev8,12,0.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAeC0xpGCW0,13,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qN2kdsUuDp8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mGxPeSXNZs4,18,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h2apXuz3ZXA,31,3.0,2.0,7.0,1.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mTowOIbypHA,86,6.0,1.0,16.0,1.0,6.0,5.0,2.0,7.0,13.0,7.0,0.0,0.0,2.0,5.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
_IynkNO0dkE,52,3.0,4.0,4.0,1.0,1.0,5.0,1.0,13.0,1.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
u-hHkujzWhY,14,0.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a_fQxBtXwVs,71,3.0,6.0,15.0,3.0,2.0,3.0,0.0,4.0,8.0,0.0,3.0,0.0,1.0,2.0,2.0,4.0,1.0,7.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
VIe3FDl2jDI,12,0.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZtWIXHzYfZ0,80,1.0,11.0,17.0,15.0,1.0,1.0,0.0,4.0,2.0,0.0,2.0,1.0,0.0,5.0,3.0,0.0,0.0,3.0,2.0,1.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
CzthkYMLaFk,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ac_3V40qLrA,7,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kHkp1SQKBJQ,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fknL-Kxk2AE,33,2.0,5.0,1.0,5.0,0.0,5.0,0.0,3.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QOFgIOCS2hE,8,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
