video_id,entity_total,count_diagnostic_procedure,count_subject,count_nonbiological_location,count_medication,count_therapeutic_procedure,count_detailed_description,count_lab_value,count_sign_symptom,count_coreference,count_disease_disorder,count_duration,count_dosage,count_frequency,count_biological_structure,count_activity,count_other_entity,count_quantitative_concept,count_date,count_outcome,count_time,count_clinical_event,count_family_history,count_other_event,count_personal_background,count_history,count_severity,count_occupation,count_age,count_sex
J_YdKK4dS3U,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hni-1dESzQc,88,9.0,2.0,2.0,36.0,5.0,5.0,5.0,7.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzJbfyl9A5Y,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TuOhHWvjums,95,4.0,7.0,2.0,0.0,22.0,14.0,13.0,5.0,4.0,1.0,3.0,0.0,3.0,4.0,5.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YCQD5T_uOv0,74,25.0,2.0,0.0,0.0,1.0,15.0,9.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XwBKpnF-QfI,5,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AvoDNblvFMQ,71,16.0,0.0,1.0,0.0,3.0,20.0,2.0,1.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
rI7YngXtZrQ,41,3.0,8.0,1.0,0.0,3.0,4.0,3.0,6.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wGQLv477cUg,15,0.0,0.0,1.0,0.0,0.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9E_XTiyK5sE,35,1.0,1.0,1.0,0.0,2.0,8.0,1.0,2.0,4.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
lcobppiMAX4,48,0.0,1.0,10.0,2.0,8.0,7.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
at4XTk8986k,62,2.0,0.0,6.0,0.0,8.0,10.0,4.0,4.0,3.0,9.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
gU2W5T9CCzo,62,0.0,1.0,12.0,0.0,6.0,6.0,4.0,12.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MeiTjOOP-gA,65,0.0,2.0,9.0,0.0,12.0,9.0,6.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
1FjuMB6pRyM,19,1.0,1.0,3.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
w3XIdjkGqqg,12,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9oVLxfYex8Y,74,2.0,1.0,4.0,0.0,7.0,7.0,8.0,0.0,19.0,9.0,4.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
_zImLVxjyb8,53,2.0,0.0,5.0,3.0,8.0,7.0,2.0,11.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
TOSxmXVgyPs,10,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bm-O6ODC15I,71,2.0,3.0,9.0,0.0,12.0,11.0,1.0,5.0,6.0,0.0,1.0,0.0,0.0,5.0,3.0,0.0,0.0,6.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
wyouVOMd9Sw,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
