video_id,entity_total,count_diagnostic_procedure,count_date,count_disease_disorder,count_detailed_description,count_biological_structure,count_nonbiological_location,count_coreference,count_activity,count_time,count_duration,count_lab_value,count_subject,count_clinical_event,count_history,count_sign_symptom,count_frequency,count_therapeutic_procedure,count_family_history,count_severity,count_other_event,count_quantitative_concept,count_outcome,count_age,count_medication,count_other_entity,count_personal_background,count_occupation,count_distance,count_administration,count_sex,count_dosage
hZZg-tX5Fro,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g15CNyfrHFY,20,1.0,2.0,9.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6m0yPWY-2yI,30,0.0,2.0,6.0,8.0,0.0,0.0,3.0,0.0,2.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wIaCbjUjduQ,30,1.0,0.0,1.0,8.0,0.0,3.0,0.0,5.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FbCumsphfIs,14,0.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eydrd2P_iGY,8,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5CoiTOiNWxo,49,6.0,1.0,12.0,13.0,0.0,8.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roFq7UmFeFI,7,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kbJS4zEQ9bs,61,0.0,1.0,2.0,8.0,14.0,4.0,5.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,16.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4DPaiwanZmo,6,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2nIn28UmhN0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_vHsNOiHfQ,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d1BxnCd7NFU,78,2.0,4.0,2.0,9.0,6.0,5.0,1.0,1.0,2.0,1.0,6.0,12.0,7.0,0.0,5.0,0.0,8.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gDICuN4uZdE,84,5.0,0.0,2.0,6.0,1.0,13.0,4.0,0.0,0.0,0.0,0.0,10.0,12.0,0.0,1.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNcbcu44LMo,75,2.0,4.0,3.0,11.0,6.0,10.0,1.0,3.0,2.0,8.0,2.0,2.0,2.0,0.0,6.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KcfMNgIn8hU,73,9.0,0.0,12.0,12.0,1.0,1.0,7.0,1.0,0.0,2.0,10.0,3.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
eLA2UsvMbW4,70,0.0,2.0,24.0,10.0,3.0,2.0,10.0,0.0,0.0,6.0,3.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tGvOkJJLXQQ,98,2.0,2.0,31.0,13.0,3.0,6.0,5.0,1.0,1.0,1.0,9.0,0.0,2.0,1.0,18.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bIMhatRycIQ,121,6.0,3.0,6.0,26.0,5.0,5.0,5.0,4.0,1.0,1.0,3.0,4.0,6.0,1.0,11.0,0.0,18.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
