video_id,entity_total,count_nonbiological_location,count_sign_symptom,count_therapeutic_procedure,count_disease_disorder,count_coreference,count_detailed_description,count_clinical_event,count_age,count_subject,count_biological_structure,count_severity,count_history,count_lab_value,count_diagnostic_procedure,count_occupation,count_family_history,count_date,count_duration,count_quantitative_concept,count_sex,count_other_event,count_frequency,count_outcome,count_medication,count_activity,count_time,count_color,count_dosage
9C35-GsVgf0,73,23.0,3.0,17.0,11.0,5.0,7.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o0WlzapSwN4,22,4.0,0.0,4.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nrN3RoctiF8,5,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JQuaHLnQgyg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hWDn4YR_7eE,28,10.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GM8hdzbqt38,51,2.0,12.0,3.0,1.0,4.0,4.0,2.0,0.0,7.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gLicdpbYEAs,81,3.0,4.0,13.0,0.0,21.0,12.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,5.0,0.0,7.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
eKWn2dabYWQ,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1DmX43HtkEE,16,3.0,0.0,5.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tNPrEoLgbNM,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6yqtliOykqI,88,2.0,2.0,26.0,2.0,9.0,30.0,0.0,0.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
iNbwIn5vOEQ,61,7.0,0.0,19.0,4.0,14.0,6.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zL2V2y8pBms,9,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m7w0PsGiz3w,74,3.0,8.0,7.0,4.0,4.0,16.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,3.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,4.0,2.0,3.0,2.0,0.0,0.0
YRVtlqNhFgA,53,2.0,5.0,2.0,0.0,3.0,3.0,5.0,1.0,6.0,0.0,0.0,0.0,5.0,6.0,0.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0
ufCSlPAmhI8,65,3.0,3.0,1.0,5.0,0.0,14.0,3.0,1.0,8.0,1.0,0.0,1.0,4.0,8.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0
oMimcciFDr4,78,3.0,1.0,1.0,8.0,27.0,12.0,3.0,0.0,4.0,0.0,0.0,0.0,2.0,7.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
fPxb3U6IYa4,64,2.0,0.0,21.0,8.0,15.0,13.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2ba5QwyGIts,46,8.0,0.0,9.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
a3WGt0il-Jo,43,0.0,0.0,1.0,0.0,7.0,8.0,0.0,0.0,11.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
_1BMWXUkw4k,69,4.0,0.0,17.0,10.0,18.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSIeM8UvmII,27,2.0,0.0,3.0,0.0,14.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORBEw4FjMhA,7,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
fC541Rsi7rk,10,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AT7I5CFyKac,98,6.0,26.0,13.0,10.0,0.0,8.0,4.0,0.0,0.0,15.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
XSn6Cra_QAs,45,1.0,4.0,3.0,0.0,8.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
h3fHBq9Ez1Q,3,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tprFIbWsTbA,16,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0
z85EBlIGp7c,66,9.0,1.0,22.0,0.0,8.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
z4OeRckGZTY,11,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
ZmeclSDnesQ,31,0.0,1.0,0.0,13.0,0.0,4.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
L_OmHZfmP6E,63,6.0,0.0,6.0,1.0,17.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0
yxzggpJuxfY,16,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,3.0,0.0,0.0
kVx_Ww9ssBE,23,3.0,1.0,0.0,0.0,5.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
m4M2gvayUCY,70,2.0,0.0,10.0,2.0,21.0,11.0,2.0,0.0,1.0,1.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
yVPZVI6Xcao,70,5.0,1.0,9.0,3.0,0.0,15.0,1.0,0.0,4.0,2.0,0.0,0.0,12.0,2.0,1.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
9ARbCXTd8Xk,28,3.0,5.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
zKwo7duxwyc,42,8.0,0.0,1.0,16.0,3.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
m3MebGrtoj0,51,2.0,1.0,17.0,7.0,1.0,4.0,1.0,0.0,2.0,6.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sKi-Ddwb4PE,35,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yJMmbZuVAJ0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PFUB_AU78Lw,72,4.0,0.0,7.0,2.0,4.0,19.0,1.0,2.0,0.0,12.0,0.0,0.0,1.0,4.0,0.0,2.0,4.0,6.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
0lZy8RGZKZc,51,3.0,1.0,2.0,3.0,2.0,13.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0
_BN7SRzpSJE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plgXlCrTdDQ,23,7.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H3AbJfkCc3E,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAnqxepSuZQ,52,3.0,2.0,3.0,3.0,3.0,10.0,1.0,1.0,4.0,2.0,0.0,0.0,7.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
bUz0VdBOPQM,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGXe0YkNFhc,77,5.0,11.0,1.0,2.0,4.0,13.0,0.0,1.0,16.0,0.0,0.0,1.0,3.0,0.0,4.0,4.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
_guUEhb6GvY,44,1.0,0.0,2.0,0.0,9.0,19.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
