video_id,entity_total,count_diagnostic_procedure,count_lab_value,count_clinical_event,count_coreference,count_other_event,count_duration,count_other_entity,count_therapeutic_procedure,count_frequency,count_severity,count_disease_disorder,count_family_history,count_detailed_description,count_outcome,count_biological_structure,count_age,count_sex,count_sign_symptom,count_date,count_nonbiological_location,count_activity,count_time,count_history,count_medication,count_subject,count_dosage,count_quantitative_concept,count_administration,count_occupation,count_personal_background
QgZx0cblW6E,37,2.0,6.0,2.0,6.0,1.0,4.0,1.0,5.0,1.0,1.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
daF-YzBeF3M,115,17.0,8.0,1.0,6.0,0.0,0.0,0.0,14.0,0.0,3.0,8.0,0.0,23.0,0.0,6.0,1.0,1.0,21.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X0lbHVxdMXA,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MdCJ7L1Hfmo,103,7.0,5.0,5.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,11.0,0.0,16.0,0.0,0.0,1.0,1.0,24.0,7.0,0.0,0.0,1.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Zl-EnGKb0JE,87,17.0,9.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,4.0,4.0,10.0,0.0,1.0,3.0,1.0,8.0,1.0,3.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
x5XtogA0kVs,79,2.0,6.0,1.0,10.0,1.0,5.0,0.0,13.0,0.0,0.0,2.0,0.0,10.0,1.0,1.0,0.0,0.0,9.0,3.0,2.0,0.0,0.0,0.0,5.0,5.0,1.0,2.0,0.0,0.0,0.0
j2r44Plhj-Y,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
nesk2NaNSfw,76,6.0,8.0,3.0,2.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,3.0,0.0,0.0
t6_tl5yu-Ko,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
evUJXU4filI,22,1.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
6Pi9IVPATVA,51,7.0,0.0,2.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
mr2Povf2Dhs,66,0.0,1.0,1.0,28.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
B1WItwQ54MY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anPLjCTWO_Y,58,2.0,7.0,3.0,6.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,6.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0
TZiYbgBFAYc,14,0.0,1.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6HmrD6hkuFA,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cQpfEe3gb-8,32,0.0,0.0,1.0,1.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
VF2pOnkAiZI,54,4.0,9.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,2.0,10.0,1.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0
dj6NeJXHsNE,33,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
gOGDlasUm0Q,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oMdwNFFftzk,50,3.0,0.0,2.0,8.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qWg70b6fEe0,45,3.0,12.0,2.0,8.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
S9TEsJ4etBE,31,1.0,0.0,1.0,19.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LUM8-vDH-kI,29,1.0,0.0,1.0,16.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2sGbpACkSBw,29,4.0,1.0,1.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0DfihOFKmzc,55,0.0,1.0,0.0,16.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0
4Eb_iMpNFcA,37,1.0,1.0,0.0,12.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tFGzQQKmADQ,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xnNEtOfKaNM,9,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
UI4IuGg5wn4,33,8.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
1N6kqKjpGX4,14,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60nv9HR7l3c,23,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
0DQZxvbD-Es,53,12.0,1.0,3.0,2.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,4.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Yh90qkuZXAA,11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
IhspMb22a8Y,51,0.0,1.0,3.0,2.0,0.0,4.0,0.0,5.0,0.0,0.0,6.0,4.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
fYrh4--Z65I,37,3.0,0.0,1.0,7.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r0IxszNIybQ,9,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppQYVSaLN-Y,6,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DgoVKIkCKEQ,9,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3kgHXxW9XaE,52,13.0,5.0,0.0,12.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
14IPpNZKpGw,104,7.0,11.0,1.0,14.0,0.0,0.0,0.0,16.0,0.0,1.0,18.0,0.0,12.0,2.0,7.0,0.0,0.0,10.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qRGb-KBK4VI,38,2.0,2.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0
wkQtrmGSMKw,85,8.0,1.0,0.0,24.0,0.0,0.0,0.0,4.0,0.0,0.0,17.0,0.0,11.0,0.0,4.0,0.0,0.0,7.0,2.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
UqMIcrNJ27Q,15,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Hpx8xSyeQAY,44,1.0,1.0,0.0,7.0,0.0,4.0,0.0,6.0,0.0,0.0,5.0,1.0,6.0,0.0,3.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
njmpa_Z_rJs,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
oDSInV7HlA4,17,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7-48ZeOTvc4,51,3.0,4.0,1.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,7.0,1.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0
38H0DS1tEow,33,1.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0
44cLsk09rN8,44,3.0,9.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,2.0,4.0,0.0,3.0,0.0,0.0,7.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
