video_id,entity_total,count_lab_value,count_coreference,count_detailed_description,count_therapeutic_procedure,count_diagnostic_procedure,count_date,count_duration,count_medication,count_biological_structure,count_subject,count_disease_disorder,count_sign_symptom,count_nonbiological_location,count_family_history,count_time,count_activity,count_clinical_event,count_frequency,count_age,count_quantitative_concept,count_sex,count_history,count_severity,count_outcome,count_other_event,count_area,count_occupation,count_qualitative_concept,count_dosage,count_other_entity
BUWo33X6iRw,46,10.0,4.0,5.0,6.0,15.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aR3neIXc9V8,6,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-vUZqrsBPvU,28,3.0,2.0,6.0,7.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5DGn6xjdvzU,25,0.0,1.0,6.0,6.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VougmcEBJ9w,70,4.0,3.0,11.0,6.0,7.0,9.0,3.0,0.0,2.0,0.0,1.0,8.0,2.0,1.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8l1x82tkYiA,9,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWy8tBh8hkw,68,4.0,9.0,26.0,8.0,1.0,0.0,1.0,0.0,9.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lk-w_0EHJWM,19,0.0,3.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mSY4kKVe5pQ,91,4.0,3.0,14.0,10.0,0.0,3.0,5.0,0.0,13.0,4.0,0.0,11.0,15.0,0.0,3.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elKZLPTS7tI,38,2.0,1.0,10.0,10.0,3.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lfNXTGD0SeU,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
