video_id,entity_total,count_coreference,count_biological_structure,count_lab_value,count_therapeutic_procedure,count_date,count_clinical_event,count_detailed_description,count_subject,count_other_event,count_diagnostic_procedure,count_nonbiological_location,count_frequency,count_disease_disorder,count_sign_symptom,count_severity,count_duration,count_activity,count_occupation,count_history,count_time,count_medication,count_age,count_outcome,count_quantitative_concept,count_distance,count_family_history,count_other_entity,count_sex,count_dosage,count_color,count_personal_background
7a7xiyTkEq0,27,3.0,1.0,4.0,5.0,3.0,1.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DcgXXxLHyCE,50,22.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,4.0,5.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0kl43FJ-Z0,17,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mz1gtgZ_rOg,65,10.0,0.0,6.0,6.0,1.0,0.0,13.0,5.0,1.0,1.0,4.0,1.0,0.0,4.0,0.0,0.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k2yLsjspxN4,57,3.0,0.0,1.0,6.0,0.0,2.0,6.0,1.0,0.0,11.0,10.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bqkquNb5Z8A,21,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-Yy-KYj-lBw,15,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jx8mwpje-J4,33,0.0,6.0,7.0,1.0,1.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POskT8R_3t4,57,4.0,7.0,3.0,9.0,0.0,1.0,5.0,0.0,1.0,3.0,3.0,0.0,5.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
lsAVcx-3sWs,7,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BsFn6tNQEo4,23,1.0,0.0,8.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
OQ9rpMXsZrU,74,13.0,0.0,2.0,8.0,0.0,0.0,24.0,8.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
18bGEw0uyAU,14,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxfWYUq6QY0,93,15.0,0.0,7.0,17.0,2.0,4.0,20.0,4.0,1.0,1.0,9.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
SlHROgv-iQw,8,0.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rf8wInU9Qu0,37,7.0,0.0,3.0,6.0,0.0,1.0,8.0,1.0,0.0,2.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52eMwhf8UfI,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E0Am_KGBdUg,14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3KzgtcRaNxw,32,6.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qGDjOgQ2FrY,7,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43PWKVRHdHU,5,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v7H95UZTyC4,70,2.0,0.0,8.0,4.0,3.0,1.0,16.0,4.0,0.0,1.0,4.0,0.0,1.0,14.0,1.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
oHh6zwtmpYw,12,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6hZ5e8hucck,8,0.0,1.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6qMf_HCem4E,7,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eOLR2ldIblE,6,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aGjEeLsL2V0,33,2.0,0.0,4.0,8.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e2FZzDuDRzw,82,8.0,1.0,5.0,15.0,5.0,2.0,11.0,1.0,0.0,7.0,1.0,1.0,5.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nAcy0QvN6k8,100,8.0,1.0,12.0,18.0,0.0,4.0,17.0,0.0,0.0,4.0,0.0,1.0,13.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
kUnK7Rd5EEU,81,4.0,0.0,3.0,2.0,0.0,0.0,11.0,1.0,2.0,3.0,7.0,0.0,37.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
J2tIgKLkf38,64,5.0,0.0,10.0,0.0,1.0,0.0,27.0,2.0,0.0,0.0,4.0,0.0,1.0,7.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
CGCJ-9khUi8,50,7.0,0.0,0.0,1.0,1.0,1.0,20.0,0.0,0.0,1.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
-RtIaTkUhM0,55,16.0,4.0,2.0,5.0,0.0,1.0,16.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UnrSkjbCHa4,87,13.0,5.0,6.0,22.0,0.0,2.0,10.0,3.0,0.0,6.0,3.0,0.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LmZp4qBz7iM,79,3.0,3.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,5.0,3.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
TCCNNatgIMM,93,3.0,3.0,1.0,8.0,0.0,0.0,11.0,0.0,0.0,4.0,0.0,2.0,10.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0p0fBn7gPyc,77,6.0,1.0,11.0,6.0,6.0,5.0,7.0,5.0,2.0,6.0,8.0,0.0,1.0,6.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gbnYnCb9p0w,35,3.0,1.0,2.0,2.0,2.0,0.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0
