video_id,entity_total,count_therapeutic_procedure,count_detailed_description,count_clinical_event,count_occupation,count_duration,count_history,count_activity,count_subject,count_frequency,count_diagnostic_procedure,count_biological_structure,count_lab_value,count_coreference,count_age,count_date,count_nonbiological_location,count_sign_symptom,count_disease_disorder,count_time,count_family_history,count_medication,count_other_event,count_personal_background,count_outcome,count_quantitative_concept,count_administration,count_sex,count_other_entity,count_severity,count_color
0o1wQZokePs,31,1.0,9.0,1.0,5.0,1.0,8.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VrwVGMAD48o,69,2.0,21.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,4.0,19.0,2.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UW8Bk1DHZcA,30,5.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR_CUgLV8M8,35,2.0,4.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0,2.0,7.0,0.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E-wOxOakE8A,43,3.0,4.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,15.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7flEoSSNGsY,17,4.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eXcxe5SbbM0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JeyxWy-Q3z8,18,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GnNi7_OkCUQ,37,9.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,4.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
gs1DWrXxp7Y,78,13.0,14.0,3.0,3.0,4.0,1.0,1.0,6.0,4.0,0.0,6.0,2.0,2.0,4.0,2.0,3.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Es0RNKAb5xQ,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLHSwh4UIJ0,80,6.0,22.0,1.0,0.0,0.0,2.0,0.0,4.0,2.0,10.0,3.0,3.0,6.0,0.0,1.0,7.0,3.0,2.0,1.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
62TiP9HlXNk,52,3.0,11.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,7.0,4.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
_uYUiRBrAMk,119,11.0,11.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,7.0,4.0,7.0,11.0,0.0,0.0,1.0,9.0,39.0,0.0,0.0,6.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0
FOe0sdZY9pw,20,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gz2eOc5R3SM,67,4.0,7.0,3.0,5.0,1.0,0.0,1.0,13.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,8.0,0.0,11.0,1.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3wIiVF_k-I,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QBUYa64o_4A,59,0.0,6.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,2.0,4.0,0.0,5.0,0.0,0.0,0.0,6.0,29.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86oF359FHUY,58,10.0,10.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,24.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
msEpbc-iG0c,50,7.0,8.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,5.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wzOSWDrRKwY,58,10.0,2.0,3.0,0.0,2.0,0.0,0.0,5.0,0.0,5.0,1.0,1.0,9.0,0.0,1.0,6.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jQUbgcBjDDY,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dx5_e7qdJjE,15,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
_kEoo15YIQk,14,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DehY-Be783M,12,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vVNW1_QmgE0,68,12.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,6.0,2.0,20.0,0.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cmHFvywuC0k,78,6.0,4.0,3.0,0.0,2.0,2.0,0.0,17.0,0.0,2.0,0.0,2.0,3.0,2.0,7.0,4.0,11.0,7.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
MlqpG3kNSL8,8,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YtGsEdhM9qk,17,6.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
