video_id,entity_total,count_quantitative_concept,count_clinical_event,count_nonbiological_location,count_age,count_date,count_sign_symptom,count_therapeutic_procedure,count_biological_structure,count_duration,count_time,count_detailed_description,count_diagnostic_procedure,count_disease_disorder,count_subject,count_coreference,count_medication,count_family_history,count_lab_value,count_other_event,count_color,count_shape,count_personal_background,count_activity,count_occupation,count_history,count_outcome,count_frequency,count_other_entity,count_dosage,count_sex,count_severity,count_administration,count_texture
2OAPveVvBZE,16,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0PTSL9qCqQQ,20,0.0,0.0,5.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pKCCjEINOQE,46,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,21.0,3.0,6.0,0.0,7.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aEpxwapu7O4,77,2.0,2.0,5.0,0.0,1.0,1.0,15.0,0.0,0.0,0.0,15.0,5.0,12.0,0.0,12.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2b5H5dfDkpQ,14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTt1UBx_HRI,37,0.0,2.0,2.0,0.0,3.0,8.0,2.0,0.0,3.0,0.0,5.0,1.0,0.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19qKiwQZF6s,25,0.0,0.0,1.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,6.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8o9kupaKef8,39,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,4.0,2.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NJKGAbSZr_s,33,0.0,0.0,4.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,10.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ffNiaeZQiWg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2zi6d7WffN4,66,0.0,3.0,3.0,0.0,3.0,1.0,7.0,0.0,2.0,0.0,20.0,0.0,0.0,5.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
v3t3HzNFyAk,66,0.0,1.0,6.0,0.0,0.0,0.0,11.0,4.0,1.0,0.0,9.0,3.0,3.0,5.0,2.0,0.0,5.0,4.0,2.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
gpGlNOt8kxc,50,0.0,5.0,10.0,0.0,0.0,2.0,9.0,0.0,1.0,0.0,7.0,3.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
kyaQYIuzm_k,42,0.0,2.0,1.0,0.0,0.0,9.0,4.0,1.0,3.0,0.0,5.0,0.0,1.0,3.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
FuFAutN7yvU,47,0.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,4.0,0.0,7.0,1.0,3.0,1.0,4.0,1.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RNwmNoxMl7k,51,1.0,5.0,1.0,0.0,0.0,3.0,13.0,0.0,0.0,1.0,15.0,1.0,3.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5oR3tvB9wM0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_S3Ifwc6pE,23,0.0,3.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
N_cr5hZrGBQ,86,2.0,2.0,5.0,0.0,0.0,15.0,0.0,0.0,2.0,2.0,12.0,2.0,2.0,13.0,1.0,2.0,6.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0
3kOElXz0vVg,54,0.0,0.0,0.0,0.0,0.0,3.0,17.0,4.0,1.0,0.0,10.0,0.0,7.0,0.0,6.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCHO9B1TtfY,61,0.0,3.0,3.0,0.0,0.0,7.0,14.0,8.0,3.0,0.0,1.0,2.0,12.0,0.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AfxIr59erBA,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l5MNmKJtCJA,23,0.0,1.0,3.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0,4.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bNsW80_Q9DQ,69,0.0,2.0,1.0,0.0,1.0,0.0,13.0,0.0,2.0,1.0,17.0,0.0,2.0,6.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mrzhpcauJ4s,66,0.0,0.0,1.0,0.0,0.0,21.0,4.0,0.0,0.0,0.0,3.0,12.0,9.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
