video_id,entity_total,count_sign_symptom,count_coreference,count_biological_structure,count_therapeutic_procedure,count_lab_value,count_diagnostic_procedure,count_disease_disorder,count_duration,count_nonbiological_location,count_subject,count_outcome,count_detailed_description,count_medication,count_occupation,count_quantitative_concept,count_frequency,count_clinical_event,count_history,count_family_history,count_date,count_other_event,count_activity,count_qualitative_concept,count_dosage,count_time,count_administration,count_severity,count_age,count_sex,count_other_entity
h7O8mcQOv6Y,38,4.0,7.0,1.0,6.0,7.0,4.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCRyqi5Vv84,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5KBzsvpvMME,80,6.0,1.0,0.0,0.0,10.0,13.0,5.0,6.0,4.0,3.0,0.0,15.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lBcTR5OiS_E,63,3.0,4.0,1.0,6.0,11.0,2.0,1.0,0.0,0.0,5.0,2.0,15.0,0.0,0.0,0.0,2.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zXppZFV1fTg,29,1.0,2.0,3.0,11.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sShFtn7dBKc,57,0.0,7.0,9.0,1.0,5.0,2.0,12.0,3.0,3.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nzN8so9SWCw,41,1.0,1.0,0.0,2.0,6.0,1.0,0.0,4.0,2.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,4.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Om0U4_PM0Wg,33,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O1eVLFX1CCc,101,5.0,3.0,1.0,13.0,15.0,44.0,1.0,1.0,1.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
rD21YoffHmI,11,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0jGfS0IeUY,68,1.0,3.0,15.0,14.0,11.0,2.0,4.0,1.0,6.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-oJFHEByRPw,65,4.0,0.0,9.0,8.0,2.0,0.0,0.0,5.0,6.0,5.0,0.0,15.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wp8Csa2KLx0,62,5.0,2.0,1.0,5.0,6.0,4.0,1.0,4.0,4.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xedc5Be-ZnI,8,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gc0tTWagc0s,50,6.0,1.0,0.0,10.0,7.0,1.0,0.0,2.0,6.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
WR_MYsYtikg,66,2.0,7.0,4.0,17.0,1.0,5.0,7.0,1.0,6.0,2.0,0.0,8.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ySZUR5TEgq0,33,3.0,1.0,1.0,2.0,6.0,2.0,0.0,4.0,3.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EefMQdwxuKg,10,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oIaznPF1u1c,64,2.0,8.0,1.0,7.0,8.0,2.0,2.0,4.0,4.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
D1UiscY-c9w,94,3.0,12.0,0.0,18.0,7.0,7.0,12.0,1.0,13.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
