video_id,entity_total,count_nonbiological_location,count_detailed_description,count_coreference,count_therapeutic_procedure,count_lab_value,count_biological_structure,count_subject,count_other_event,count_clinical_event,count_diagnostic_procedure,count_frequency,count_disease_disorder,count_duration,count_quantitative_concept,count_activity,count_age,count_date,count_history,count_occupation,count_personal_background,count_sign_symptom,count_time,count_severity,count_qualitative_concept,count_sex,count_medication,count_outcome,count_family_history,count_color,count_dosage,count_other_entity
xJ2oD_70mT4,19,7.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gD-MmdNumI8,36,0.0,11.0,3.0,6.0,7.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f-cjbyoWhA4,127,9.0,18.0,6.0,11.0,10.0,6.0,6.0,0.0,3.0,1.0,0.0,12.0,3.0,1.0,7.0,1.0,4.0,1.0,1.0,1.0,19.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wpj5L_nwkls,33,1.0,2.0,0.0,4.0,9.0,0.0,3.0,0.0,1.0,2.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wdY0jSBMY38,75,11.0,11.0,0.0,7.0,9.0,2.0,3.0,0.0,1.0,1.0,1.0,6.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-eKjFN-Clg,61,2.0,4.0,5.0,12.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0
OSo7y4Xhe3E,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UG5B9lQRojc,16,0.0,1.0,6.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fiEzw1ECNnU,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E7roMzDCeAU,11,0.0,3.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
