video_id,entity_total,count_medication,count_clinical_event,count_duration,count_date,count_activity,count_nonbiological_location,count_sign_symptom,count_detailed_description,count_subject,count_other_event,count_diagnostic_procedure,count_lab_value,count_therapeutic_procedure,count_frequency,count_time,count_sex,count_personal_background,count_coreference,count_disease_disorder,count_severity,count_history,count_biological_structure,count_occupation,count_quantitative_concept,count_age,count_other_entity,count_family_history,count_administration,count_outcome,count_color,count_dosage,count_distance
pGdHt-qvpkw,7,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jYUj8ZVNO3A,5,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oZPANn1S0oo,49,1.0,0.0,1.0,0.0,1.0,1.0,10.0,7.0,1.0,1.0,8.0,6.0,4.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3NfQj4OComI,71,2.0,1.0,1.0,2.0,0.0,6.0,10.0,15.0,0.0,0.0,6.0,2.0,6.0,0.0,0.0,0.0,1.0,2.0,14.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WOG7QrZIfGk,93,0.0,2.0,2.0,0.0,4.0,5.0,9.0,15.0,2.0,0.0,7.0,4.0,1.0,0.0,0.0,1.0,2.0,5.0,10.0,0.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9VF0hud9rW8,100,0.0,0.0,1.0,0.0,0.0,0.0,28.0,18.0,0.0,0.0,11.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,3.0,0.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yEN21v_I9EA,78,0.0,1.0,0.0,2.0,4.0,2.0,22.0,15.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
IzFlvWDNWK8,53,2.0,3.0,0.0,2.0,1.0,5.0,8.0,4.0,4.0,0.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NGfWLmppEsQ,37,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bRlS75AaBxI,64,2.0,0.0,1.0,2.0,1.0,11.0,5.0,7.0,6.0,1.0,9.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
lvKBxaOpOHs,30,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0,4.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nV9JW3AHqfg,39,0.0,1.0,3.0,0.0,0.0,7.0,0.0,12.0,1.0,0.0,4.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c4Lcq9siq1I,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48e5swYBT_Y,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DkpesT4gUBI,9,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
