video_id,entity_total,count_detailed_description,count_disease_disorder,count_severity,count_date,count_sign_symptom,count_clinical_event,count_nonbiological_location,count_duration,count_history,count_therapeutic_procedure,count_coreference,count_diagnostic_procedure,count_subject,count_lab_value,count_family_history,count_age,count_biological_structure,count_activity,count_outcome,count_frequency,count_quantitative_concept,count_other_event,count_personal_background,count_occupation,count_time,count_medication,count_other_entity,count_administration,count_color,count_qualitative_concept,count_sex
BMeObD_AmPo,13,4.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B9RjImfEWAo,8,1.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lDODENmsuog,7,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y3UgmMntTk8,70,5.0,4.0,0.0,5.0,1.0,0.0,0.0,1.0,2.0,6.0,23.0,6.0,6.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bA4TtCL2E2A,74,4.0,4.0,0.0,0.0,11.0,3.0,2.0,1.0,0.0,4.0,4.0,7.0,5.0,9.0,0.0,0.0,4.0,5.0,1.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aqWHMnciM5Q,51,10.0,1.0,0.0,0.0,3.0,4.0,7.0,3.0,1.0,5.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Q3pJwDD9xts,7,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8v6Di7O9ljg,14,1.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ji_FWub99PA,79,16.0,6.0,0.0,1.0,0.0,3.0,10.0,0.0,1.0,7.0,26.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noPInsSVYMU,58,12.0,11.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,16.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
vxRLLRksj1c,78,27.0,4.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,9.0,15.0,0.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
SKATSZD-zJ0,40,12.0,6.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,3.0,4.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H-fZPKSscbY,14,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wfPxwiXwMbo,42,12.0,6.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
