video_id,entity_total,count_diagnostic_procedure,count_severity,count_disease_disorder,count_biological_structure,count_subject,count_therapeutic_procedure,count_date,count_clinical_event,count_time,count_frequency,count_detailed_description,count_medication,count_activity,count_coreference,count_lab_value,count_nonbiological_location,count_sign_symptom,count_duration,count_other_event,count_occupation,count_administration,count_dosage,count_outcome,count_personal_background,count_family_history,count_age,count_history,count_distance,count_sex,count_quantitative_concept,count_qualitative_concept
zDm4OMn74aM,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16ECfRFtuXk,23,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BI5cMK2tySM,56,3.0,0.0,0.0,0.0,11.0,6.0,1.0,1.0,2.0,0.0,9.0,0.0,0.0,17.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mB2ltH0MlKM,42,2.0,0.0,2.0,0.0,2.0,10.0,0.0,1.0,3.0,1.0,5.0,0.0,1.0,1.0,2.0,4.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pjj7TYibGwk,26,1.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,0.0,0.0,3.0,1.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-y6JiLg201w,100,21.0,0.0,4.0,12.0,1.0,2.0,1.0,2.0,3.0,0.0,8.0,20.0,3.0,1.0,9.0,7.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ChUHSuyWguo,12,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B5xKbNVn3Rc,36,2.0,0.0,1.0,1.0,0.0,11.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E0GWYsusrbc,58,24.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,18.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VaSWYVW8Dts,43,2.0,0.0,0.0,0.0,7.0,4.0,0.0,1.0,0.0,1.0,11.0,0.0,0.0,6.0,4.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
