video_id,entity_total,count_diagnostic_procedure,count_coreference,count_activity,count_detailed_description,count_other_event,count_history,count_nonbiological_location,count_therapeutic_procedure,count_disease_disorder,count_sign_symptom,count_subject,count_clinical_event,count_occupation,count_date,count_duration,count_lab_value,count_biological_structure,count_medication,count_age,count_other_entity,count_time,count_outcome,count_personal_background,count_family_history,count_administration,count_quantitative_concept,count_frequency,count_dosage,count_sex,count_severity,count_qualitative_concept
WUUc_hPPgzc,39,5.0,2.0,9.0,2.0,2.0,1.0,4.0,2.0,6.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8_su3paw5o,34,2.0,0.0,0.0,5.0,0.0,2.0,11.0,7.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mxNW4Wrd-_Y,47,3.0,4.0,3.0,2.0,2.0,0.0,1.0,2.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BNxyk6BTd3w,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wozaGreDFtI,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p3YhamjV-yU,44,4.0,7.0,0.0,12.0,0.0,0.0,3.0,2.0,4.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3ihszthnayg,79,3.0,1.0,0.0,21.0,0.0,0.0,4.0,1.0,17.0,4.0,0.0,1.0,0.0,1.0,0.0,5.0,18.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QFuvgdNZn7w,75,8.0,7.0,3.0,11.0,2.0,0.0,3.0,6.0,4.0,3.0,1.0,3.0,1.0,4.0,2.0,3.0,7.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LtUx9edYcK0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gr_VvPglwiw,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6INZhigA4Nc,70,2.0,4.0,3.0,13.0,0.0,1.0,2.0,1.0,12.0,1.0,21.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255fQTWPjLc,84,5.0,1.0,0.0,16.0,0.0,1.0,2.0,5.0,24.0,5.0,0.0,1.0,0.0,0.0,4.0,4.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4Li5l4YG3i4,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2WX9bq0jylU,96,1.0,22.0,0.0,15.0,2.0,0.0,11.0,6.0,2.0,5.0,3.0,3.0,0.0,3.0,9.0,10.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5SfrGDLMibg,13,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VgUdS1CI7h4,9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2sgjLRoTW6U,6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JW3JyccEXRI,72,3.0,5.0,0.0,14.0,0.0,4.0,3.0,6.0,3.0,5.0,3.0,0.0,0.0,1.0,6.0,4.0,5.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
