video_id,entity_total,count_detailed_description,count_coreference,count_therapeutic_procedure,count_diagnostic_procedure,count_subject,count_lab_value,count_time,count_nonbiological_location,count_other_event,count_medication,count_biological_structure,count_disease_disorder,count_date,count_history,count_clinical_event,count_quantitative_concept,count_severity,count_family_history,count_other_entity,count_sign_symptom,count_outcome,count_duration,count_personal_background,count_occupation,count_activity,count_age,count_frequency,count_color,count_sex,count_qualitative_concept
98pNrNp6fOE,56,17.0,27.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C62YxOnLe8A,18,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qLhKfH6om84,17,1.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WT0hnmg7yhs,28,3.0,3.0,9.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M8vbbBJOMN0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YbfeLTjMpdg,71,9.0,0.0,8.0,1.0,17.0,5.0,0.0,4.0,0.0,3.0,0.0,3.0,4.0,0.0,3.0,1.0,0.0,1.0,0.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bAgJqcsEK2A,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iKecm-NLRJI,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
me0zy_fuWyc,85,12.0,0.0,2.0,4.0,14.0,10.0,0.0,1.0,0.0,2.0,4.0,5.0,2.0,2.0,1.0,0.0,0.0,14.0,0.0,6.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0
d_WeYz91yWc,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M6UHqLtybjw,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wtlNapcs0j0,58,6.0,12.0,9.0,0.0,3.0,6.0,0.0,5.0,0.0,0.0,1.0,10.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_pI6qOLsF1w,106,29.0,3.0,31.0,0.0,2.0,8.0,0.0,9.0,0.0,0.0,9.0,0.0,3.0,0.0,1.0,5.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
B1hXPL7pgvs,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
1V4nben5SWM,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1ihutUU87eQ,81,5.0,3.0,8.0,5.0,4.0,12.0,1.0,3.0,1.0,0.0,5.0,3.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0
76MIBypbQXE,68,8.0,2.0,9.0,2.0,3.0,10.0,1.0,7.0,1.0,0.0,1.0,2.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,5.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0
AIb8ZO36zc0,61,3.0,4.0,3.0,4.0,4.0,7.0,5.0,4.0,0.0,0.0,2.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TiR0pUDxW_k,51,18.0,1.0,11.0,8.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
onw0ie_Z4S4,29,1.0,7.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
qk97R_-DeA4,46,7.0,1.0,10.0,5.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
YSdcmdTy4RA,49,2.0,3.0,10.0,5.0,0.0,1.0,1.0,6.0,0.0,1.0,2.0,0.0,7.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NV5Lh1QsoQE,73,7.0,14.0,17.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,15.0,11.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
fLjaSApoDac,38,2.0,4.0,4.0,2.0,0.0,0.0,0.0,3.0,0.0,12.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
