video_id,entity_total,count_coreference,count_medication,count_lab_value,count_diagnostic_procedure,count_therapeutic_procedure,count_detailed_description,count_dosage,count_nonbiological_location,count_sign_symptom,count_sex,count_family_history,count_history,count_disease_disorder,count_subject,count_time,count_duration,count_age,count_clinical_event,count_frequency,count_quantitative_concept,count_date,count_biological_structure,count_other_event,count_outcome,count_severity,count_personal_background,count_occupation,count_administration,count_activity
MmOc_I2Jyvk,65,18.0,9.0,1.0,3.0,5.0,7.0,1.0,1.0,13.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aKWHgwz9dWo,79,1.0,27.0,1.0,3.0,7.0,6.0,8.0,1.0,11.0,0.0,3.0,0.0,2.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V7UfP6zZ-EA,54,9.0,0.0,7.0,4.0,7.0,4.0,0.0,3.0,7.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W52xua5B8-c,61,0.0,0.0,0.0,0.0,23.0,12.0,0.0,7.0,3.0,0.0,0.0,0.0,4.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATNxBh1zD5k,37,5.0,0.0,0.0,5.0,3.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bui9u_mKOQw,102,2.0,0.0,18.0,3.0,3.0,11.0,0.0,6.0,26.0,0.0,0.0,0.0,2.0,4.0,3.0,3.0,0.0,4.0,0.0,0.0,5.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0
65-pbNnw6lA,59,15.0,0.0,2.0,3.0,3.0,13.0,0.0,0.0,1.0,0.0,11.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
MeNyXo8EqPA,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3rMay9yNYYQ,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oLxxq-ihXeY,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f7D57sIGg5c,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v0dydIi42hY,59,2.0,1.0,3.0,5.0,16.0,5.0,0.0,4.0,3.0,0.0,1.0,0.0,6.0,2.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
XRdF-i-Qlgo,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H-fWQ_z4UWw,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L3Bby-OLOvg,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97WXn0ymAdA,73,0.0,2.0,7.0,2.0,3.0,21.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,11.0,4.0,5.0,2.0,3.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
nClKe9M3CKw,70,2.0,1.0,3.0,1.0,19.0,27.0,0.0,3.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GYW_SJI7ZM8,35,1.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u-oO5artghw,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LvR1RxAeb5E,6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tdb8Bu9NiA4,74,6.0,5.0,5.0,12.0,14.0,6.0,3.0,2.0,7.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
c8XelvkcLIM,35,6.0,0.0,0.0,1.0,3.0,13.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ccIN6134AEo,40,12.0,0.0,0.0,3.0,1.0,6.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLF1xHP1LkE,52,3.0,0.0,6.0,3.0,3.0,19.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
pTWFkWqaSlk,5,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SxqyJb4CI84,66,6.0,2.0,2.0,2.0,6.0,10.0,0.0,5.0,5.0,0.0,1.0,0.0,5.0,6.0,0.0,2.0,0.0,2.0,5.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR_uU3_WiPc,70,6.0,0.0,4.0,1.0,10.0,11.0,0.0,3.0,6.0,0.0,2.0,0.0,3.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
ceg5XdjWgE8,78,4.0,0.0,11.0,1.0,6.0,5.0,0.0,3.0,2.0,2.0,0.0,0.0,34.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70rHlebV5Sk,59,2.0,0.0,11.0,1.0,9.0,19.0,0.0,1.0,6.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s_VUhInkSs4,63,2.0,1.0,8.0,4.0,10.0,8.0,0.0,4.0,8.0,0.0,2.0,0.0,0.0,5.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
HABnUjObdV0,46,2.0,0.0,4.0,0.0,8.0,6.0,0.0,3.0,2.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0
He5CK7WuP5g,57,17.0,0.0,1.0,1.0,0.0,8.0,0.0,4.0,0.0,0.0,1.0,1.0,15.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
EE2NAv4VsbI,18,5.0,0.0,2.0,0.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
