"video_id","description","has_title","has_description","video_duration","description_length","description_unique_words","view_count","like_count","comment_count","subscriber_count","channel_upload_count","sentiment","sentence_count"
"--uQR16bKD8","Speakers discuss the transition we are entering as COVID restrictions are lifted, and we begin living in the new normal. We address the transition to the new normal from a post-transplant and mental health perspective.",True,True,5563.0,35,26,1654,27,0,191000,1170,"Neutral",2
"-8wPY3vFR_A","You will take medications called immonsuppressive drugs for the rest of your life beginning immediately following your kidney transplant. Discusses the importance of planning for their cost and the side effects of the steroids and other medications you will need. Sixth in a series of 7 patient education videos for kidney recipients at the University of Michigan Transplant Center.",True,True,291.0,59,44,3506,16,0,216000,5950,"Neutral",3
"-B-HaLGqQRM","https://healthcare.ascension.org/locations/texas/txaus/austin-ascension-seton-heart-specialty-care-and-transplant-center  Jeff's had shortness of breath on exertion. After tests, Ascension Seton doctors heart  diagnosed a rare form of heart disease. They told him that ""we're here to save your life and make you feel better, and that's what we're going to do.""",True,True,74.0,43,38,263,0,0,7550,2528,"Negative",3
"-DGB139NQg8","Living Donor Kidney Transplant Surgery  Live Webcast Event from Sentara Norfolk General Hospital, Norfolk, Virginia  Wednesday, March 25, 2009 6:00 PM EDT",True,True,151.0,22,21,91232,287,2,67000,1102,"Neutral",1
"-DgvdrXc3ko","ESOT & Takeda Joint Educational Session  CMV management practices across Europe: Results of an ESOT survey Nassim Kamar - Toulouse France  Patients at high risk for CMV syndrome/disease: Not only D+/RAtul Humar - Toronto Canada  Unmet needs for prevention of CMV infection in transplantation: challenges in management of drug toxicities and viral resistances Maddalena Giannella - Bologna Italy  The real high risk patient: when the graft is the site of infection Paolo Solidoro - Torino Italy  What’s on the pipeline and what can we expect from upcoming anti-CMV drugs Oliver Witzke - Essen Germany  ESOT: https://www.esot.org ESOT Congress: https://www.esotcongress.org ESOT Transplant Live: https://www.esottransplantlive.org  #transplantation #education #ESOTcongress",True,True,5349.0,100,80,1480,9,0,1100,430,"Neutral",2
"-F8PZyqms3U","""Ethical Problems in Living Donor Kidney Transplantation - Illustrative Case Vignettes""  Monday, May 13, 2013 at 4 p.m.  Presented by K. K. Venkat, M.D.  About the Henry Ford Transplant Institute Lecture Series  The Henry Ford Transplant Institute is hosting a series of monthly educational lectures throughout the year. Henry Ford Transplant Institute physicians and surgeons as well as visiting professors will present a collection of transplant related groundbreaking topics you won't find anywhere else.  For more information, past presentations or future topics scheduled, please log on to https://www.henryford.com/hcp/academic/transplant/lecture-series",True,True,3974.0,87,73,1692,5,0,45300,2832,"Neutral",3
"-O_E1UWn7uE","Todd K. Rosengart, M.D., F.A.C.S., Professor and DeBakey-Bard Chair of Surgery's Nov. 12, 2014 update on the state of the Michael E. DeBakey Department of Surgery at Baylor College of Medicine.",True,True,3493.0,31,27,940,3,0,23100,1473,"Neutral",1
"-OcOA2cE5w4","Are you thinking about lung transplantation for yourself or your loved one? Some patients living with pulmonary fibrosis may be eligible for a lung transplant, but it is a complex process that may not be right for everyone with PF.  Through the stories of three individuals who are lung transplant recipients or currently listed for transplant, discover how to best prepare for the physical and emotional experiences people with PF face as they undergo evaluation, transplantation, and recovery.  Dr. Marie Budev, Medical Director of Lung Transplantation at the Cleveland Clinic, recommends that patients remain positive, and stay as healthy and active as possible during the waiting period. The path and timing is different for each individual so it is important to remember that every day counts.   Learn more about the lung transplant journey in this informative video. The Pulmonary Fibrosis Foundation (PFF) offers essential programs and resources for people with pulmonary fibrosis. The mission of the PFF is to mobilize people and resources to provide access to high quality care and to lead research for a cure so that people with PF will lead longer, healthier lives. Social media platforms - Twitter - @PFFORG Facebook - @PFFORG Instagram - @PFFORG LinkedIn- Pulmonary Fibrosis Foundation Please note that any information contained in this presentation is for informational and/or educational purposes only. It is not intended to be a substitute for professional medical advice. Always consult your personal physician or health care provider with any questions you may have regarding your specific medical condition. This video is protected by U.S. and International copyright laws. Reproductions and distribution of this presentation without written permission from the Pulmonary Fibrosis Foundation is prohibited. © 2021 Pulmonary Fibrosis Foundation",True,True,412.0,278,172,3491,56,0,17100,551,"Neutral",15
"-QtYNPHW0mQ","Considering a heart transplant? This video from UC Health explains the heart transplant evaluation process and what you need to know.  Learn that a heart transplant isn't a cure and understand the importance of lifelong medication.      Discover the nature of immunosuppressant medications, their potential side effects, and the necessity of consistent adherence.      Explore the balance between the challenges of a heart transplant and the improved quality of life it offers.      This video provides a realistic overview to help you prepare for the heart transplant journey.",True,True,211.0,85,55,89,0,0,13500,719,"Neutral",6
"-RtIaTkUhM0","Speaker: Dr. Peter Kim",True,True,1516.0,4,4,329,2,0,952,151,"Neutral",1
