video_id,meta_has_title,meta_has_description,meta_video_duration,meta_description_unique_words,meta_like_count,meta_comment_count,meta_subscriber_count,meta_sentiment,average_word_length,lexical_diversity,medical_density,medical_mention_count,rare_term_ratio_unique,term_clustering_concentrated,term_clustering_gini,condition_ratio,symptom_ratio,therapy_ratio,medication_ratio,anatomy_ratio,location_ratio,measurement_ratio,activity_ratio,other_ratio,passive_voice_ratio,sentence_length_std,syntax_tree_depth,subordinate_clause_density,average_dependency_distance,pronoun_frequency,word_count
-QtYNPHW0mQ,True,True,211.0,55,0,0,13500,3.0,1.508,0.444,0.0328185328185328,17.0,0.8666666666666667,False,0.2823529411764707,0.0588235294117647,0.0,0.1176470588235294,0.2352941176470588,0.0,0.0588235294117647,0.0588235294117647,0.0,0.4705882352941176,0.176,5.99,6.12,0.048,2.69,0.114,520.0
0H_xTEHRK0g,True,True,329.0,46,6,0,697000,3.0,1.481,0.35,0.0546875,49.0,0.8717948717948718,True,0.4816326530612245,0.0612244897959183,0.0,0.4081632653061224,0.0,0.0,0.0816326530612244,0.0612244897959183,0.0,0.3877551020408163,4.0,132.71,13.6,0.369,5.22,0.111,895.0
0UvOSHJz7U0,True,True,120.0,78,21,5,42900,3.0,1.622,0.605,0.270042194092827,64.0,0.9152542372881356,False,0.03125,0.0625,0.109375,0.1875,0.0,0.046875,0.15625,0.03125,0.0,0.40625,0.0,79.44,8.2,0.194,5.3,0.116,235.0
13X23gF0K_4,True,True,243.0,25,4,0,56400,3.0,1.5,0.424,0.0125786163522012,8.0,1.0,True,0.3500000000000001,0.0,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.625,0.167,12.81,5.75,0.061,3.18,0.125,651.0
14m0iXpHVAU,True,True,146.0,84,6,0,45400,3.0,1.441,0.499,0.1040462427745664,36.0,0.9411764705882352,True,0.1888888888888888,0.0,0.1111111111111111,0.3611111111111111,0.0,0.0,0.1388888888888889,0.0555555555555555,0.0,0.3333333333333333,3.0,164.05,12.5,0.516,3.42,0.148,346.0
1IauflS1rR0,True,True,54.0,11,0,0,18300,3.0,1.576,0.676,0.108695652173913,15.0,0.9285714285714286,True,0.32,0.0,0.0,0.4666666666666667,0.0,0.0,0.0666666666666666,0.0,0.0,0.4666666666666667,1.0,0.0,12.0,0.909,3.86,0.106,139.0
1IjYsYT6KmQ,True,True,114.0,67,48,0,18300,3.0,1.279,0.536,0.1894273127753304,43.0,0.975,True,0.213953488372093,0.0232558139534883,0.1627906976744186,0.0232558139534883,0.0,0.0465116279069767,0.0232558139534883,0.0465116279069767,0.1627906976744186,0.5116279069767442,0.0,31.09,4.7,0.11,3.79,0.198,222.0
1KceELBEzgw,True,True,786.0,276,15,5,53700,3.0,1.429,0.243,0.0416054821341164,85.0,0.7966101694915254,True,0.7670588235294118,0.1058823529411764,0.2117647058823529,0.0941176470588235,0.0117647058823529,0.2117647058823529,0.0,0.1294117647058823,0.0,0.2352941176470588,0.577,66.92,9.58,0.079,4.14,0.11,2030.0
1PtxaxcPnGc,True,True,159.0,51,429,14,191000,4.0,1.36,0.396,0.0078125,4.0,1.0,True,0.7,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.75,0.257,6.64,5.23,0.051,2.9,0.138,497.0
1hKkuOSe2vw,True,True,490.0,23,174,25,22200,3.0,1.441,0.308,0.0449612403100775,58.0,0.7894736842105263,True,0.6551724137931034,0.0,0.0,0.2068965517241379,0.0,0.2241379310344827,0.3103448275862069,0.0,0.0,0.2586206896551724,5.25,277.74,11.5,0.339,4.95,0.118,1289.0
