video_id,entity_total,count_diagnostic_procedure,count_history,count_detailed_description,count_therapeutic_procedure,count_duration,count_coreference,count_biological_structure,count_nonbiological_location,count_clinical_event,count_subject,count_disease_disorder,count_lab_value,count_outcome,count_family_history,count_activity,count_sign_symptom,count_severity,count_age,count_other_event,count_date,count_personal_background,count_medication,count_frequency,count_occupation,count_time,count_sex,count_quantitative_concept,count_color,count_dosage
lZl8tISca5E,34,3.0,2.0,7.0,3.0,1.0,5.0,1.0,5.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_kwtFLe2VQQ,25,1.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,3.0,7.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_ANuVnxTUJ8,99,0.0,2.0,18.0,13.0,0.0,1.0,3.0,2.0,2.0,5.0,0.0,9.0,0.0,0.0,12.0,16.0,1.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
w-H1eYdPhPI,52,2.0,0.0,4.0,7.0,1.0,2.0,0.0,10.0,1.0,6.0,4.0,5.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
szMgN68kijg,61,5.0,0.0,4.0,8.0,2.0,3.0,2.0,5.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
olShnT7Oyo0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qkWLnyHua1g,75,1.0,0.0,12.0,6.0,3.0,3.0,14.0,1.0,3.0,2.0,12.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
u1pg9QjrNzs,34,2.0,0.0,4.0,1.0,2.0,11.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0
JY8Dp1pKx1U,29,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,0.0,4.0,3.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
peMUOkpRkkY,41,3.0,0.0,6.0,5.0,3.0,1.0,2.0,2.0,2.0,6.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
iyT00P2BR_M,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qg8Z8SinIdE,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kOFVP0dPl-Q,55,0.0,0.0,12.0,6.0,1.0,10.0,0.0,2.0,5.0,6.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
voEQjWvxBRM,39,3.0,1.0,5.0,11.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a4ibn9IVChI,22,0.0,0.0,3.0,10.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4TwLNSc5jLE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EkX4pNVMCBE,72,7.0,0.0,26.0,10.0,1.0,15.0,1.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PnnuV7NCzow,18,2.0,0.0,4.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ejxXGSDMeGQ,51,3.0,2.0,10.0,13.0,1.0,10.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
HYWmYJNg5Jw,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DXnCwKr4xD8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fJo3K-Ad6os,68,2.0,3.0,15.0,9.0,0.0,7.0,0.0,4.0,2.0,2.0,8.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
