flesch_reading_ease,flesch_kincaid_grade_level,smog_index,gunning_fog_index,average_word_length,long_word_ratio,lexical_diversity,medical_density,medical_mention_count,medical_unique_count,rare_term_ratio_unique,rare_term_ratio_mentions,term_clustering_concentrated,term_clustering_gini,term_clustering_max_share,condition_ratio,symptom_ratio,therapy_ratio,diagnostic_ratio,medication_ratio,anatomy_ratio,location_ratio,measurement_ratio,context_ratio,activity_ratio,other_ratio,passive_voice_ratio,average_sentence_length,sentence_length_std,syntax_tree_depth,subordinate_clause_density,average_dependency_distance,pronoun_frequency,video_id,text_length,word_count
-9404.6,3648.06,174.61,3743.73,1.42,0.096,0.142,0.003913687328115084,37,33,0.9090909090909091,0.8108108108108109,True,0.8,1.0,0.08108108108108109,0.02702702702702703,0.13513513513513514,0.0,0.05405405405405406,0.0,0.16216216216216217,0.02702702702702703,0.0,0.0,0.5135135135135135,0.258,37.16,34.1,7.23,0.008,3.49,0.144,qEffgHlRR7M,50199,9411
-693.78,297.84,61.95,307.48,1.575,0.14,0.37,0.11023622047244094,84,65,0.8461538461538461,0.6547619047619048,True,0.45238095238095233,0.4166666666666667,0.15476190476190477,0.07142857142857142,0.21428571428571427,0.0,0.011904761904761904,0.0,0.05952380952380952,0.011904761904761904,0.0,0.03571428571428571,0.44047619047619047,0.6,155.0,210.11,12.0,0.311,4.68,0.117,cXU93UolNpc,4446,760
-658.59,285.48,60.83,294.53,1.519,0.14,0.342,0.05442176870748299,40,27,0.7407407407407407,0.5,True,0.47,0.425,0.05,0.025,0.075,0.0,0.075,0.0,0.125,0.0,0.0,0.0,0.65,0.8,149.4,191.24,12.2,0.215,6.85,0.107,SbU7imzshS0,4057,732
-249.99,124.64,46.26,129.95,1.705,0.185,0.536,0.1277258566978193,41,33,0.9090909090909091,0.7317073170731707,False,0.1073170731707318,0.24390243902439024,0.0,0.04878048780487805,0.34146341463414637,0.0,0.0,0.024390243902439025,0.024390243902439025,0.14634146341463414,0.0,0.0,0.4146341463414634,3.0,333.0,0.0,15.0,0.944,5.0,0.072,vX7b2dwkrwc,1942,322
61.33,7.19,11.21,8.0,1.6,0.2,1.0,0.1,1,1,1.0,1.0,True,0.8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,5.0,0.0,1.8,0.0,CRa4fj0BEPY,63,10
-2597.04,1033.08,92.55,1061.97,1.385,0.093,0.259,0.02656191545080434,71,69,0.9710144927536232,0.9436619718309859,True,0.8,1.0,0.028169014084507043,0.04225352112676056,0.1267605633802817,0.0,0.014084507042253521,0.0,0.09859154929577464,0.1267605633802817,0.0,0.04225352112676056,0.5211267605633803,0.491,51.77,78.04,7.74,0.032,4.15,0.176,S8EUEQSxB7o,14110,2666
-102.64,71.8,29.31,74.8,1.522,0.118,0.539,0.25136612021857924,46,44,0.9545454545454546,0.9130434782608695,False,0.12173913043478257,0.2608695652173913,0.0,0.0,0.2391304347826087,0.0,0.0,0.021739130434782608,0.17391304347826086,0.15217391304347827,0.0,0.0,0.41304347826086957,0.5,93.5,10.61,9.0,0.429,4.68,0.086,W09QflAfup0,1036,183
60.03,9.59,26.17,11.57,1.508,0.114,0.211,0.00046468401486988845,2,2,1.0,1.0,True,0.8,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.296,19.18,10.21,6.39,0.008,3.12,0.129,QNOM2D-8HTQ,24613,4301
-199.23,106.14,41.87,110.6,1.656,0.176,0.546,0.12213740458015267,32,29,0.9310344827586207,0.84375,True,0.4375,0.40625,0.0,0.03125,0.28125,0.0,0.0,0.0,0.09375,0.09375,0.0,0.0,0.5,0.667,89.33,20.53,13.0,0.406,3.6,0.134,deq9hflAr1g,1550,262
-22.63,43.25,21.19,45.42,1.417,0.093,0.713,0.2909090909090909,32,27,0.8888888888888888,0.75,False,0.11250000000000004,0.25,0.03125,0.09375,0.0625,0.0,0.0,0.03125,0.0,0.125,0.0,0.0,0.65625,0.0,112.0,0.0,11.0,0.857,3.51,0.161,ZHX-j2ldBak,580,110
-313.36,154.1,36.93,159.57,1.458,0.09,0.43,0.13131313131313133,52,44,0.8863636363636364,0.75,True,0.23076923076923084,0.36538461538461536,0.057692307692307696,0.038461538461538464,0.19230769230769232,0.0,0.0,0.0,0.057692307692307696,0.11538461538461539,0.0,0.0,0.5384615384615384,0.4,81.6,46.84,11.8,0.4,4.15,0.132,WbhnC0Yz8Sw,2132,393
