video_id,entity_total,count_disease_disorder,count_sign_symptom,count_biological_structure,count_subject,count_lab_value,count_outcome,count_family_history,count_diagnostic_procedure,count_coreference,count_detailed_description,count_clinical_event,count_nonbiological_location,count_therapeutic_procedure,count_date,count_other_event,count_frequency,count_occupation,count_quantitative_concept,count_time,count_medication,count_duration,count_history,count_activity,count_other_entity,count_severity,count_personal_background,count_age,count_dosage,count_administration,count_qualitative_concept,count_sex
yGurXfU0hEw,11,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rt7y2ViREDQ,47,1.0,12.0,2.0,2.0,7.0,1.0,1.0,3.0,2.0,6.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LxgD4qSV8x8,48,2.0,9.0,0.0,3.0,3.0,1.0,1.0,5.0,4.0,1.0,4.0,6.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5GJwAa6eFag,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPoqpeog2Wc,13,0.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JDjzkIC_y2c,75,4.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,17.0,12.0,5.0,4.0,19.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5M9tz38lrvQ,7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dAT69yP0IT0,55,3.0,5.0,2.0,4.0,9.0,0.0,3.0,2.0,8.0,10.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vVAc7PEuivQ,5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mTr_VCwUK8s,10,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cl56BYuRczw,9,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iSdhV5aMGd4,70,3.0,4.0,1.0,1.0,7.0,0.0,0.0,12.0,18.0,10.0,1.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rM_gz1Gz9gE,16,5.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zqP3pJSM5T4,58,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,13.0,12.0,1.0,10.0,14.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WHvIWcJQGaE,84,10.0,11.0,1.0,0.0,5.0,0.0,0.0,4.0,2.0,14.0,3.0,18.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
rLxTozspBxk,71,19.0,7.0,8.0,0.0,5.0,0.0,1.0,10.0,2.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mUHXXeYUX_A,38,11.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,0.0,4.0,4.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jJgT__VYKy4,65,11.0,0.0,12.0,4.0,3.0,1.0,4.0,0.0,3.0,9.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
z0lRyJa8juo,18,0.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
VV8JrW-VGuo,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QXOLqAlW1SM,49,2.0,3.0,6.0,4.0,5.0,0.0,1.0,5.0,12.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
EyErv_J7goQ,109,1.0,17.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,15.0,0.0,3.0,16.0,2.0,0.0,0.0,0.0,0.0,1.0,40.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2xW1HO-g7k,54,1.0,1.0,2.0,0.0,5.0,0.0,2.0,2.0,6.0,12.0,2.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MqObiZJFosc,104,16.0,2.0,21.0,1.0,2.0,0.0,0.0,1.0,23.0,16.0,1.0,3.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tnj1DC9BJH4,68,11.0,5.0,6.0,2.0,7.0,0.0,0.0,4.0,0.0,6.0,2.0,4.0,5.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vzCO8LwyVnk,66,12.0,3.0,14.0,2.0,1.0,0.0,1.0,0.0,7.0,7.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xok9lDMkylg,26,0.0,0.0,4.0,0.0,1.0,0.0,0.0,4.0,4.0,3.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7F5l2P1cp2A,59,9.0,3.0,1.0,3.0,1.0,0.0,0.0,14.0,9.0,3.0,2.0,0.0,3.0,2.0,0.0,4.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B4nUAUbPEE8,80,0.0,10.0,4.0,0.0,3.0,0.0,0.0,15.0,5.0,3.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
toB6n7nbdAk,75,0.0,9.0,4.0,0.0,3.0,0.0,0.0,14.0,1.0,3.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
S8BCExUiu6w,21,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
0thYaTW8blU,71,2.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,19.0,7.0,2.0,14.0,17.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
h23yA4vs37s,11,4.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OViAap76xEw,68,13.0,4.0,2.0,0.0,9.0,0.0,0.0,8.0,7.0,10.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
nz5xGubxjOM,41,10.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,11.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3iGLfS5PRyY,58,4.0,8.0,7.0,0.0,0.0,0.0,0.0,7.0,3.0,14.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tDS3y0OZSNY,34,8.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5PfTJoKghrA,48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,14.0,3.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XBe2Di1Z26Y,68,0.0,10.0,2.0,4.0,4.0,3.0,2.0,5.0,1.0,14.0,1.0,4.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3Aw2zuF6pL4,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ub7bttYeqB8,71,2.0,6.0,5.0,1.0,20.0,0.0,0.0,16.0,3.0,8.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DXOEeZAVtvw,71,0.0,4.0,2.0,3.0,15.0,0.0,1.0,5.0,5.0,7.0,1.0,2.0,11.0,6.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IOzOnoaWpUc,61,4.0,4.0,2.0,4.0,5.0,0.0,7.0,1.0,3.0,7.0,1.0,4.0,5.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b9gcPed7ojU,54,4.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,5.0,2.0,6.0,13.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
MOdmXje8BIc,71,1.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,3.0,20.0,1.0,3.0,12.0,2.0,1.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0
vBpSOIt_MBM,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XUtsDA9x8ug,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ig_M3CQMcRM,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,7.0,2.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
jFTZ3iEWDYk,44,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,13.0,1.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
d-hQhkCaNYU,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
