video_id,entity_total,count_biological_structure,count_coreference,count_duration,count_therapeutic_procedure,count_nonbiological_location,count_disease_disorder,count_clinical_event,count_detailed_description,count_history,count_date,count_sign_symptom,count_subject,count_family_history,count_outcome,count_diagnostic_procedure,count_lab_value,count_activity,count_age,count_sex,count_medication,count_time,count_severity,count_frequency,count_other_event,count_quantitative_concept,count_occupation,count_personal_background,count_other_entity
G44-ul_xF4Y,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8NzEjR2nUag,39,1.0,1.0,0.0,2.0,4.0,17.0,1.0,5.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ugc5k7z2Ga0,16,0.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IgvyQDh83F8,44,8.0,7.0,1.0,3.0,2.0,4.0,0.0,3.0,0.0,0.0,8.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sqm0D3iNXno,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3A5st5NlSb8,5,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yNNQ7PljGPY,63,0.0,12.0,2.0,4.0,0.0,2.0,5.0,8.0,0.0,1.0,6.0,1.0,0.0,1.0,7.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cq4ZFKQ_19o,40,2.0,1.0,2.0,5.0,0.0,4.0,1.0,3.0,0.0,4.0,3.0,1.0,3.0,1.0,0.0,4.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRAogUCB6Xs,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VbWzuBZRlQw,108,13.0,21.0,4.0,9.0,1.0,19.0,1.0,16.0,0.0,2.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
WON9cnOf-o0,81,0.0,1.0,2.0,3.0,1.0,5.0,1.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
8-gNq3551DE,87,0.0,3.0,0.0,5.0,2.0,1.0,5.0,49.0,0.0,1.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CYRwlUJwqKQ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fIx85pw7TH8,6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e6SRF_2D2ns,68,6.0,8.0,2.0,11.0,3.0,3.0,0.0,23.0,0.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Riuu_1EL75s,46,1.0,2.0,3.0,6.0,1.0,8.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
dl7Bz8LMe8s,79,1.0,9.0,0.0,16.0,1.0,12.0,2.0,11.0,0.0,0.0,4.0,1.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
6h3Q0dvghIg,31,0.0,5.0,2.0,1.0,1.0,0.0,1.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mVKoNKP5zUk,31,0.0,0.0,3.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,8.0,3.0,1.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
qagT7QouPDM,30,2.0,7.0,3.0,1.0,4.0,2.0,2.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
XlGulUnBqwk,26,1.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,0.0,1.0,6.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tyIjI9Ly3v8,11,0.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GevbIiKImIs,15,0.0,2.0,1.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4FsNXTPOlU4,68,0.0,3.0,2.0,9.0,8.0,2.0,1.0,16.0,0.0,2.0,2.0,4.0,5.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
yFkJ_htamMw,11,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y2ABKOJkVz0,63,0.0,20.0,1.0,3.0,1.0,0.0,0.0,16.0,0.0,1.0,4.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bXSV7eMZYic,6,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4nke5FR3B8Q,39,5.0,6.0,3.0,11.0,0.0,7.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MFy3IcBckKs,21,5.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guV2fPWwYoA,83,7.0,4.0,2.0,11.0,4.0,10.0,2.0,26.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
eh6Q8pneY3U,43,1.0,1.0,1.0,11.0,1.0,1.0,0.0,7.0,0.0,2.0,8.0,4.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b5i_SCogaWI,82,3.0,8.0,1.0,9.0,5.0,3.0,6.0,18.0,1.0,5.0,6.0,0.0,1.0,0.0,7.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
wJqS2kt5ers,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
SkUSkQ-N26U,74,0.0,4.0,8.0,8.0,5.0,9.0,3.0,13.0,1.0,2.0,2.0,3.0,1.0,1.0,5.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
R2Z468hFs_A,51,0.0,4.0,0.0,3.0,0.0,2.0,1.0,28.0,0.0,2.0,1.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QcCt6FqxHxU,35,0.0,11.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
eIBcF1cbMyc,31,0.0,7.0,2.0,5.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
7mLsUVfrLsU,78,3.0,16.0,1.0,20.0,6.0,0.0,1.0,18.0,0.0,1.0,1.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
v6GGHwfgU6s,35,0.0,0.0,1.0,8.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,8.0,2.0,0.0,0.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
noypViDJ5WI,13,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5zVO8qosRu0,22,0.0,3.0,0.0,4.0,3.0,0.0,1.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PVdt0exsBwA,44,0.0,8.0,2.0,8.0,1.0,4.0,2.0,3.0,0.0,4.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
PYpGIl443b4,4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
jdShUNBaeLc,47,0.0,4.0,1.0,10.0,7.0,2.0,2.0,6.0,0.0,3.0,1.0,2.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y4QwMpLaqJY,64,2.0,13.0,1.0,6.0,1.0,3.0,0.0,7.0,0.0,4.0,7.0,0.0,0.0,0.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pZlJ2bT026E,53,1.0,0.0,1.0,5.0,4.0,8.0,0.0,17.0,1.0,0.0,9.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
