video_id,entity_total,count_disease_disorder,count_biological_structure,count_therapeutic_procedure,count_nonbiological_location,count_duration,count_occupation,count_detailed_description,count_other_entity,count_clinical_event,count_frequency,count_subject,count_sign_symptom,count_lab_value,count_diagnostic_procedure,count_coreference,count_history,count_severity,count_time,count_medication,count_age,count_date,count_quantitative_concept,count_outcome,count_other_event,count_activity,count_family_history,count_sex,count_texture,count_color,count_distance,count_dosage
t9CGEdbqigw,11,2.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EBJrZIi6tsU,34,0.0,0.0,13.0,2.0,0.0,1.0,9.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2A8uKo5t5oE,78,14.0,3.0,21.0,7.0,0.0,0.0,9.0,1.0,2.0,0.0,13.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
w0yVPUNNV_Q,48,0.0,2.0,7.0,15.0,1.0,0.0,4.0,0.0,5.0,2.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vJhUXyBFaUI,92,8.0,10.0,3.0,1.0,0.0,1.0,35.0,0.0,0.0,0.0,0.0,9.0,1.0,12.0,9.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8hiQql7YoZk,49,0.0,0.0,4.0,12.0,6.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,2.0,9.0,5.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RKO_yn2GXK4,48,7.0,2.0,8.0,2.0,1.0,0.0,8.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gusncb4G2Hk,71,3.0,2.0,7.0,2.0,1.0,0.0,20.0,0.0,1.0,3.0,2.0,2.0,6.0,0.0,11.0,0.0,0.0,3.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd32Xa3uwc,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bzPYA45fK8A,71,3.0,0.0,9.0,7.0,3.0,0.0,18.0,0.0,3.0,0.0,1.0,2.0,9.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8Loq9oE72TY,47,0.0,5.0,16.0,5.0,1.0,0.0,9.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QozgxjwrX6c,71,1.0,3.0,6.0,7.0,1.0,0.0,20.0,0.0,3.0,0.0,3.0,0.0,1.0,5.0,16.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1ccsAGhXnk,89,8.0,1.0,9.0,9.0,2.0,0.0,10.0,0.0,8.0,0.0,3.0,18.0,3.0,2.0,2.0,0.0,0.0,6.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
