video_id,entity_total,count_diagnostic_procedure,count_disease_disorder,count_lab_value,count_detailed_description,count_nonbiological_location,count_duration,count_clinical_event,count_occupation,count_other_event,count_sign_symptom,count_activity,count_subject,count_family_history,count_coreference,count_therapeutic_procedure,count_outcome,count_biological_structure,count_time,count_date,count_personal_background,count_frequency,count_age,count_area,count_distance,count_history,count_severity,count_quantitative_concept,count_sex,count_medication,count_administration,count_qualitative_concept
Idfgrq18WWY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YABUfXWhEmU,37,4.0,3.0,5.0,5.0,4.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJdb_gYtbxs,60,2.0,3.0,4.0,10.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,2.0,10.0,14.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iY8OJB32uT4,64,5.0,2.0,5.0,4.0,1.0,1.0,1.0,0.0,0.0,13.0,5.0,5.0,2.0,0.0,6.0,1.0,1.0,3.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9rDdZmjRZkw,56,7.0,0.0,3.0,13.0,5.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,9.0,1.0,5.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HTGtbOJwpvE,81,0.0,0.0,1.0,37.0,5.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,21.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xv3NX1p5Oa8,11,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G5S3DQiqjGo,78,2.0,11.0,1.0,11.0,2.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,20.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PU-rPtYkkRg,98,3.0,6.0,6.0,15.0,3.0,4.0,3.0,0.0,0.0,4.0,9.0,1.0,0.0,3.0,15.0,0.0,7.0,9.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
ide3ADAjKzA,35,0.0,0.0,3.0,13.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
