feature_name,importance,rank
location_ratio,0.1589571910262108,1
rare_term_ratio_unique,0.1167095084180043,2
other_ratio,0.08328234225260318,3
medical_mention_count,0.06472539081298728,4
medical_density,0.06396302969283225,5
average_word_length,0.06280181762835224,6
condition_ratio,0.06269268893789173,7
meta_comment_count,0.060816592998155256,8
meta_subscriber_count,0.05541787051972309,9
measurement_ratio,0.052994107619721814,10
subordinate_clause_density,0.05191088346142811,11
meta_description_unique_words,0.049354267706330994,12
pronoun_frequency,0.04397937084636883,13
meta_like_count,0.03453025189277001,14
medication_ratio,0.031139883356822266,15
lexical_diversity,0.0067248028297977325,16
average_dependency_distance,0.0,17
syntax_tree_depth,0.0,18
sentence_length_std,0.0,19
passive_voice_ratio,0.0,20
meta_has_description,0.0,21
symptom_ratio,0.0,22
activity_ratio,0.0,23
anatomy_ratio,0.0,24
therapy_ratio,0.0,25
meta_video_duration,0.0,26
term_clustering_gini,0.0,27
term_clustering_concentrated,0.0,28
meta_sentiment,0.0,29
word_count,0.0,30
