flesch_reading_ease,flesch_kincaid_grade_level,smog_index,gunning_fog_index,average_word_length,long_word_ratio,lexical_diversity,medical_density,medical_mention_count,medical_unique_count,condition_ratio,symptom_ratio,therapy_ratio,diagnostic_ratio,medication_ratio,anatomy_ratio,location_ratio,measurement_ratio,context_ratio,activity_ratio,other_ratio,rare_term_ratio_unique,rare_term_ratio_mentions,term_clustering_concentrated,term_clustering_gini,term_clustering_max_share,passive_voice_ratio,average_sentence_length,sentence_length_std,syntax_tree_depth,subordinate_clause_density,average_dependency_distance,pronoun_frequency,video_id,text_length,word_count
-1526.74,617.73,88.44,635.5,1.583,0.141,0.31,0.0461,74.0,45.0,0.081,0.054,0.203,0.176,0.0,0.014,0.014,0.041,0.419,0.0,0.0,0.822,0.5,False,-0.27,0.09,3.143,232.14,204.92,11.29,0.243,6.11,0.074,DgJMRaz3xrM,9128.0,1602.0
-2634.57,1043.29,117.95,1072.17,1.589,0.151,0.226,0.0152,41.0,29.0,0.049,0.146,0.366,0.024,0.024,0.0,0.122,0.0,0.268,0.0,0.0,0.862,0.61,False,-0.231,0.053,3.857,396.0,317.42,18.14,0.33,7.73,0.144,x49Yje5VGbc,16324.0,2687.0
-1965.33,789.46,85.32,812.24,1.429,0.102,0.243,0.0418,85.0,59.0,0.106,0.212,0.071,0.153,0.012,0.212,0.0,0.047,0.188,0.0,0.0,0.797,0.553,False,-0.197,0.06,0.577,80.62,66.92,9.58,0.079,4.14,0.11,1KceELBEzgw,10803.0,2030.0
-2774.89,1094.9,130.49,1124.64,1.7,0.178,0.275,0.0183,52.0,50.0,0.096,0.096,0.192,0.096,0.019,0.038,0.096,0.058,0.269,0.0,0.038,0.96,0.923,False,-0.293,0.1,1.45,144.1,205.94,10.9,0.104,7.29,0.088,m7qMAZ4ALKU,16819.0,2824.0
50.92,9.98,11.46,10.7,1.659,0.138,0.691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.125,16.5,5.37,6.38,0.27,2.79,0.091,Sp6736obyBg,930.0,127.0
50.92,9.98,11.46,10.7,1.659,0.138,0.691,0.0139,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False,0.0,0.0,0.125,16.5,5.37,6.38,0.27,2.79,0.091,1xVsO9MyRC4,930.0,127.0
-4087.44,1602.92,132.27,1646.03,1.521,0.125,0.216,0.0173,73.0,57.0,0.096,0.027,0.192,0.041,0.014,0.123,0.11,0.151,0.247,0.0,0.0,0.895,0.699,False,-0.276,0.043,0.921,112.74,109.91,9.63,0.045,5.3,0.132,rVyQbCtRKeA,23100.0,4202.0
-2337.33,930.78,95.6,956.35,1.507,0.11,0.249,0.015,36.0,30.0,0.083,0.0,0.25,0.083,0.111,0.0,0.111,0.167,0.194,0.0,0.0,0.9,0.75,False,-0.382,0.085,0.72,99.24,179.17,9.56,0.082,6.71,0.116,zREox08QmM0,13499.0,2391.0
-472.13,212.52,52.6,220.01,1.583,0.14,0.479,0.1033,56.0,55.0,0.179,0.0,0.25,0.089,0.0,0.0,0.036,0.071,0.375,0.0,0.0,0.982,0.964,False,-0.254,0.222,2.0,276.0,338.0,15.0,0.5,5.17,0.138,jPSl50VPOHI,3136.0,540.0
-325.41,148.08,60.26,154.0,1.972,0.278,0.483,0.1758,64.0,45.0,0.203,0.016,0.25,0.031,0.0,0.0,0.094,0.0,0.406,0.0,0.0,0.844,0.594,False,-0.223,0.287,4.0,364.0,0.0,21.0,0.875,7.42,0.052,4UUyBAeVmQk,2435.0,362.0
