index,suggestion,cluster_label
81,heart transplant history,0
100,heart transplant inventor,0
257,how many heart transplants david rockefeller,0
258,how many heart transplants did rockefeller have,0
272,when did heart transplants become common,0
273,when did heart transplants start,0
278,when was 1st heart transplant,0
279,when was first heart transplant done,0
280,when was first heart transplant done in india,0
281,when was heart transplant invented,0
282,where do heart transplants come from,0
284,where do hearts for heart transplants come from,0
286,where was first heart transplant done,0
287,where was first heart transplant in uk,0
288,where was first heart transplant in us,0
289,where was heart transplant invented,0
290,who did first heart transplant in india,0
291,who did first heart transplant in world,0
292,who discovered heart transplantation,0
294,who done first heart transplant,0
295,who first heart transplant in india,0
296,who invented heart transplant,0
297,who made first heart transplant,0
308,why was heart transplant invented,0
32,heart transplant cost,1
33,heart transplant cost in usa,1
34,heart transplant cost medicare,1
35,heart transplant cost with insurance,1
43,heart transplant doctor salary,1
263,what does heart transplant cost,1
13,heart transplant and lvad,2
56,heart transplant evaluation icd 10,2
89,heart transplant icd 10,2
90,heart transplant icd code,2
95,heart transplant in india,2
96,heart transplant in zambia,2
97,heart transplant in zimbabwe,2
101,heart transplant japan,2
110,heart transplant ka kharcha,2
111,heart transplant kab kiya jata hai,2
112,heart transplant kaise hota hai,2
117,heart transplant kolkata,2
118,heart transplant kya hota hai,2
170,heart transplant qld,2
192,heart transplant status icd 10,2
194,heart transplant status z94 1,2
228,heart transplant vs lvad,2
243,heart transplant yashoda hospital,2
249,heart transplant zbigniew religa,2
254,how many heart transplant done in india,2
260,jacc heart transplant,2
264,what is heart transplant in hindi,2
315,zbigniew heart transplant,2
0,current heart transplant list,3
2,does heart transplant qualify for disability,3
36,heart transplant cpt code,3
37,heart transplant criteria,3
39,heart transplant diagnosis code,3
51,heart transplant eligibility,3
52,heart transplant eligibility criteria,3
54,heart transplant evaluation,3
55,heart transplant evaluation cpt code,3
57,heart transplant exercise guidelines,3
76,heart transplant guidelines,3
77,heart transplant guidelines 2024,3
78,heart transplant guidelines pdf,3
82,heart transplant hospital rankings,3
119,heart transplant levels,3
123,heart transplant list,3
124,heart transplant list status 4,3
126,heart transplant listing status,3
171,heart transplant qualifications,3
172,heart transplant quality indicators,3
185,heart transplant requirements,3
190,heart transplant status,3
193,heart transplant status z code,3
215,heart transplant unos status,3
225,heart transplant volume,3
226,heart transplant volume by center,3
