search_term,value,base_keyword,tag,type
pig heart,100,heart transplant,top,query
heart transplant pig heart,96,heart transplant,top,query
first heart transplant,93,heart transplant,top,query
what is a heart transplant,61,heart transplant,top,query
heart transplant surgery,56,heart transplant,top,query
the first heart transplant,42,heart transplant,top,query
heart failure,41,heart transplant,top,query
kidney transplant,40,heart transplant,top,query
heart transplant cost,35,heart transplant,top,query
lung transplant,31,heart transplant,top,query
heart transplant list,29,heart transplant,top,query
heart transplant movie,26,heart transplant,top,query
liver transplant,25,heart transplant,top,query
heart disease,23,heart transplant,top,query
heart transplant rejection,22,heart transplant,top,query
heart transplant survival rate,19,heart transplant,top,query
heart transplant life expectancy,17,heart transplant,top,query
heart transplant icd 10,17,heart transplant,top,query
artificial heart,13,heart transplant,top,query
artificial heart transplant,13,heart transplant,top,query
how much is a heart transplant,12,heart transplant,top,query
pediatric heart transplant,12,heart transplant,top,query
cheney heart transplant,12,heart transplant,top,query
pig heart transplant to human,11,heart transplant,top,query
dick cheney heart transplant,11,heart transplant,top,query
pig heart transplant dies,55600,heart transplant,rising,query
alaska man heart transplant,41000,heart transplant,rising,query
pig heart transplant update,40350,heart transplant,rising,query
covid vaccine heart transplant patients,27800,heart transplant,rising,query
david bennett heart transplant,22450,heart transplant,rising,query
jackson browne heart transplant,17650,heart transplant,rising,query
heart transplant patient unvaccinated,8200,heart transplant,rising,query
dr victor chang first heart transplant,8100,heart transplant,rising,query
patrick holland heart transplant,7850,heart transplant,rising,query
first pig heart transplant to-human,7450,heart transplant,rising,query
alaska man misses heart transplant,5450,heart transplant,rising,query
amy silverstein heart transplant,900,heart transplant,rising,query
pig heart,900,heart transplant,rising,query
heart transplant pig heart,850,heart transplant,rising,query
heart transplant from pig,500,heart transplant,rising,query
pig heart transplant to human,500,heart transplant,rising,query
partial heart transplant,350,heart transplant,rising,query
robotic heart transplant,300,heart transplant,rising,query
pigs heart transplant,250,heart transplant,rising,query
where did the first heart transplant take place,200,heart transplant,rising,query
do you die during a heart transplant,170,heart transplant,rising,query
heart transplant survival rate,80,heart transplant,rising,query
dcd heart transplant,80,heart transplant,rising,query
what is a heart transplant,80,heart transplant,rising,query
how long is a heart transplant surgery,70,heart transplant,rising,query
can you transplant a liver,100,liver transplant,top,query
liver transplant donor,83,liver transplant,top,query
kidney transplant,80,liver transplant,top,query
liver disease,75,liver transplant,top,query
cirrhosis,74,liver transplant,top,query
liver cirrhosis,69,liver transplant,top,query
trachtenberg liver transplant,69,liver transplant,top,query
michelle trachtenberg,69,liver transplant,top,query
michelle trachtenberg liver transplant,67,liver transplant,top,query
liver transplant surgery,64,liver transplant,top,query
live liver transplant,62,liver transplant,top,query
liver transplant list,60,liver transplant,top,query
liver cancer,57,liver transplant,top,query
liver transplant icd 10,52,liver transplant,top,query
liver transplant criteria,50,liver transplant,top,query
liver transplant cost,49,liver transplant,top,query
liver failure,48,liver transplant,top,query
living liver transplant,48,liver transplant,top,query
liver transplant survival,45,liver transplant,top,query
can you get a liver transplant,39,liver transplant,top,query
