Category: All categories
"heart transplant: (9/24/20 - 9/24/25, United States)"

TOP
Organ transplantation,100
Heart,100
Heart transplantation,98
Pig,8
Patient,7
Surgery,5
Kidney,4
Heart failure,3
Hospital,3
Lung,3
Human,3
Disease,3
Kidney transplantation,3
Organ,3
Life,2
Lung transplantation,2
Liver,2
Survival rate,2
Life expectancy,2
Donation,2
Liver transplantation,1
Artificial heart,1
ICD-10,1
ICD-10-CM,1
Organ donation,1

RISING
Pig,Breakout
Asian bleeding-heart,Breakout
long,Breakout
live,Breakout
Waiting list,"+4,550%"
ICD-10-CM,+950%
Organ donation,+550%
Chronic condition,+500%
Cardiologist,+450%
Dicentra,+400%
Human,+190%
Life,+160%
Survival rate,+70%

