Category: All categories
"kidney transplant: (9/24/20 - 9/24/25, United States)"

TOP
Kidney,100
Organ transplantation,96
Kidney transplantation,87
Patient,10
Disease,5
Donation,5
Surgery,4
Hospital,4
Blood,4
Kidney dialysis,3
Liver,3
ICD-10,3
Kidney disease,3
Selena Gomez,3
Pharmaceutical drug,2
Heart,2
Kidney failure,2
Organ,2
Chronic kidney disease,2
Liver transplantation,2
Pig,2
Life,2
ICD-10-CM,2
Urine,1
Organ donation,1

RISING
Selena Gomez kidney transplant,Breakout
Mayo,Breakout
Chronic kidney disease,Breakout
Pig,Breakout
Diagnosis,Breakout
Nurse,"+1,300%"
ICD-10-CM,"+1,250%"
Glomerular filtration rate,+850%
Organ donation,+850%
Chronic condition,+450%
Life,+120%
Urine,+60%
Patient,+50%
Kidney disease,+40%

