Category: All categories
"lung transplant: (9/27/25, 8:36 PM - 9/28/25, 8:36 PM, United States)"

TOP
Organ transplantation,100
Lung,100
Lung transplantation,91
Fibrosis,12
Cystic fibrosis,12
Patient,10
Heart,7
Scar,6
Surgery,5
Cure,5
Disease,4
Life,4
Exercise,4
Hospital,4
Diagnosis,3
Rate,3
Kidney,3
Life expectancy,3
Cancer,3
Survival rate,3
Human body,3
used,3
Liver,3
Kidney failure,2
connect,2

RISING
Scar,Breakout
Exercise,Breakout
Human body,Breakout
used,Breakout
Kidney failure,Breakout
connect,Breakout
Bronchoscopy,Breakout
Interstitial lung disease,Breakout
Health care,Breakout
Sarcoidosis,Breakout
Bone marrow,Breakout
Risk | Brilliant Math & Science Wiki,Breakout
Cardiopulmonary bypass,Breakout
Diagnosis,+200%
Liver,+140%
Kidney,+70%
Patient,+60%
Heart,+50%
Cure,+50%

