index,suggestion,cluster_label,label
81,heart transplant history,0,0
100,heart transplant inventor,0,0
257,how many heart transplants david rockefeller,0,0
258,how many heart transplants did rockefeller have,0,0
272,when did heart transplants become common,0,0
273,when did heart transplants start,0,0
278,when was 1st heart transplant,0,0
279,when was first heart transplant done,0,0
280,when was first heart transplant done in india,0,0
281,when was heart transplant invented,0,0
282,where do heart transplants come from,0,0
284,where do hearts for heart transplants come from,0,0
286,where was first heart transplant done,0,0
287,where was first heart transplant in uk,0,0
288,where was first heart transplant in us,0,0
289,where was heart transplant invented,0,0
290,who did first heart transplant in india,0,0
291,who did first heart transplant in world,0,0
292,who discovered heart transplantation,0,0
294,who done first heart transplant,0,0
295,who first heart transplant in india,0,0
296,who invented heart transplant,0,0
297,who made first heart transplant,0,0
308,why was heart transplant invented,0,0
32,heart transplant cost,1,1
33,heart transplant cost in usa,1,1
34,heart transplant cost medicare,1,1
35,heart transplant cost with insurance,1,1
43,heart transplant doctor salary,1,0
263,what does heart transplant cost,1,1
13,heart transplant and lvad,2,1
56,heart transplant evaluation icd 10,2,1
89,heart transplant icd 10,2,1
90,heart transplant icd code,2,1
95,heart transplant in india,2,0
96,heart transplant in zambia,2,0
97,heart transplant in zimbabwe,2,0
101,heart transplant japan,2,0
110,heart transplant ka kharcha,2,0
111,heart transplant kab kiya jata hai,2,0
112,heart transplant kaise hota hai,2,0
117,heart transplant kolkata,2,0
118,heart transplant kya hota hai,2,0
170,heart transplant qld,2,0
192,heart transplant status icd 10,2,1
194,heart transplant status z94 1,2,1
228,heart transplant vs lvad,2,1
243,heart transplant yashoda hospital,2,0
249,heart transplant zbigniew religa,2,0
254,how many heart transplant done in india,2,0
260,jacc heart transplant,2,1
264,what is heart transplant in hindi,2,0
315,zbigniew heart transplant,2,0
0,current heart transplant list,3,1
2,does heart transplant qualify for disability,3,1
36,heart transplant cpt code,3,1
37,heart transplant criteria,3,1
39,heart transplant diagnosis code,3,1
51,heart transplant eligibility,3,1
52,heart transplant eligibility criteria,3,1
54,heart transplant evaluation,3,1
55,heart transplant evaluation cpt code,3,1
57,heart transplant exercise guidelines,3,1
76,heart transplant guidelines,3,1
77,heart transplant guidelines 2024,3,1
78,heart transplant guidelines pdf,3,1
82,heart transplant hospital rankings,3,1
119,heart transplant levels,3,1
123,heart transplant list,3,1
124,heart transplant list status 4,3,1
126,heart transplant listing status,3,1
171,heart transplant qualifications,3,1
