search key,type,source,predicted_relevance
current heart transplant list,heart transplant,google_complete,1
do you change after a heart transplant,heart transplant,google_complete,1
does heart transplant qualify for disability,heart transplant,google_complete,1
first heart transplant new zealand,heart transplant,google_complete,0
first heart transplant year,heart transplant,google_complete,0
heart transplant 10 year survival rate,heart transplant,google_complete,1
heart transplant 20 year survival rate,heart transplant,google_complete,1
heart transplant 5 year survival,heart transplant,google_complete,1
heart transplant 5 year survival rate,heart transplant,google_complete,1
heart transplant advancement minecraft,heart transplant,google_complete,0
heart transplant after care,heart transplant,google_complete,1
heart transplant after heart attack,heart transplant,google_complete,1
heart transplant after lvad,heart transplant,google_complete,1
heart transplant age,heart transplant,google_complete,1
heart transplant age limit,heart transplant,google_complete,1
heart transplant alternatives,heart transplant,google_complete,1
heart transplant anastomosis,heart transplant,google_complete,1
heart transplant anastomosis order,heart transplant,google_complete,1
heart transplant anesthesia,heart transplant,google_complete,1
heart transplant anesthesia considerations,heart transplant,google_complete,1
heart transplant anniversary,heart transplant,google_complete,1
heart transplant anniversary quotes,heart transplant,google_complete,0
heart transplant anti rejection drugs,heart transplant,google_complete,1
heart transplant atropine,heart transplant,google_complete,1
heart transplant awareness,heart transplant,google_complete,1
heart transplant baby,heart transplant,google_complete,1
heart transplant baylor,heart transplant,google_complete,1
heart transplant beating box,heart transplant,google_complete,1
heart transplant bible verse,heart transplant,google_complete,1
heart transplant bill,heart transplant,google_complete,1
heart transplant biopsy,heart transplant,google_complete,1
heart transplant biopsy grade,heart transplant,google_complete,1
heart transplant blood pressure,heart transplant,google_complete,1
heart transplant blood type,heart transplant,google_complete,1
heart transplant book,heart transplant,google_complete,0
heart transplant boston,heart transplant,google_complete,1
heart transplant box,heart transplant,google_complete,1
heart transplant bracelet,heart transplant,google_complete,0
heart transplant breakthrough,heart transplant,google_complete,1
heart transplant by robot,heart transplant,google_complete,1
heart transplant candidate,heart transplant,google_complete,1
heart transplant cav,heart transplant,google_complete,1
heart transplant center near me,heart transplant,google_complete,1
heart transplant centers,heart transplant,google_complete,1
heart transplant change your personality,heart transplant,google_complete,1
heart transplant complications,heart transplant,google_complete,1
heart transplant coordinator,heart transplant,google_complete,1
heart transplant coordinator jobs,heart transplant,google_complete,1
heart transplant cost,heart transplant,google_complete,1
heart transplant cost in dollars,heart transplant,google_complete,1
heart transplant cost in usa,heart transplant,google_complete,1
heart transplant cost medicare,heart transplant,google_complete,1
heart transplant cost with insurance,heart transplant,google_complete,1
heart transplant cpt,heart transplant,google_complete,1
heart transplant cpt code,heart transplant,google_complete,1
heart transplant criteria,heart transplant,google_complete,1
heart transplant definition,heart transplant,google_complete,1
heart transplant denervation,heart transplant,google_complete,1
heart transplant diagnosis code,heart transplant,google_complete,1
heart transplant diet,heart transplant,google_complete,1
heart transplant dietary restrictions,heart transplant,google_complete,1
heart transplant disability,heart transplant,google_complete,1
heart transplant doctor,heart transplant,google_complete,0
heart transplant doctor salary,heart transplant,google_complete,1
heart transplant doctors near me,heart transplant,google_complete,1
heart transplant dogs,heart transplant,google_complete,1
heart transplant donor,heart transplant,google_complete,1
heart transplant drg,heart transplant,google_complete,1
heart transplant drugs,heart transplant,google_complete,1
heart transplant dsa,heart transplant,google_complete,1
heart transplant duration,heart transplant,google_complete,1
heart transplant ecg,heart transplant,google_complete,1
heart transplant echo,heart transplant,google_complete,1
heart transplant ecmo,heart transplant,google_complete,1
heart transplant education,heart transplant,google_complete,1
heart transplant eligibility,heart transplant,google_complete,1
heart transplant eligibility criteria,heart transplant,google_complete,1
heart transplant emotional effects,heart transplant,google_complete,1
heart transplant evaluation,heart transplant,google_complete,1
heart transplant evaluation cpt code,heart transplant,google_complete,1
heart transplant evaluation guidelines,heart transplant,google_complete,1
heart transplant evaluation icd 10,heart transplant,google_complete,1
heart transplant evaluation process,heart transplant,google_complete,1
heart transplant exclusion criteria,heart transplant,google_complete,1
heart transplant exercise guidelines,heart transplant,google_complete,1
heart transplant expectancy,heart transplant,google_complete,1
heart transplant experience,heart transplant,google_complete,1
heart transplant facts,heart transplant,google_complete,1
heart transplant fellowship,heart transplant,google_complete,1
heart transplant financial assistance,heart transplant,google_complete,1
heart transplant first,heart transplant,google_complete,0
heart transplant first one,heart transplant,google_complete,0
heart transplant for babies,heart transplant,google_complete,1
heart transplant for cats,heart transplant,google_complete,1
