search key,type,source,predicted_relevance
alfred hospital heart lung transplant unit,heart-lung transplant,google_complete,1
best heart lung transplant hospital,heart-lung transplant,google_complete,1
can you get a heart and lung transplant at the same time,heart-lung transplant,google_complete,1
can you have a lung transplant without a heart transplant,heart-lung transplant,google_complete,1
combined heart lung transplant,heart-lung transplant,google_complete,1
cost of heart lung transplant,heart-lung transplant,google_complete,1
dcd heart lung transplant,heart-lung transplant,google_complete,1
deborah heart and lung transplant,heart-lung transplant,google_complete,1
domino heart lung transplant,heart-lung transplant,google_complete,1
double lung heart transplant survival rate,heart-lung transplant,google_complete,1
eisenmenger syndrome heart lung transplant,heart-lung transplant,google_complete,1
european heart and lung transplant federation,heart-lung transplant,google_complete,1
first heart lung liver transplant,heart-lung transplant,google_complete,0
first heart lung transplant australia,heart-lung transplant,google_complete,0
first heart lung transplant in australia,heart-lung transplant,google_complete,0
first heart lung transplant in india,heart-lung transplant,google_complete,0
first heart lung transplant uk,heart-lung transplant,google_complete,0
first human heart lung transplant,heart-lung transplant,google_complete,0
freeman heart & lung transplant association,heart-lung transplant,google_complete,1
heart and lung transplant,heart-lung transplant,google_complete,1
heart and lung transplant advantages and disadvantages,heart-lung transplant,google_complete,1
heart and lung transplant centres uk,heart-lung transplant,google_complete,1
heart and lung transplant chennai,heart-lung transplant,google_complete,1
heart and lung transplant cleveland clinic,heart-lung transplant,google_complete,1
heart and lung transplant clinic,heart-lung transplant,google_complete,1
heart and lung transplant clinic falls church,heart-lung transplant,google_complete,1
heart and lung transplant clinic st vincent's,heart-lung transplant,google_complete,1
heart and lung transplant conference,heart-lung transplant,google_complete,1
heart and lung transplant coordinator,heart-lung transplant,google_complete,1
heart and lung transplant coordinator salary,heart-lung transplant,google_complete,1
heart and lung transplant foundation,heart-lung transplant,google_complete,1
heart and lung transplant foundation wa,heart-lung transplant,google_complete,1
heart and lung transplant hospital,heart-lung transplant,google_complete,1
heart and lung transplant hospital uk,heart-lung transplant,google_complete,1
heart and lung transplant icu uab,heart-lung transplant,google_complete,1
heart and lung transplant life expectancy,heart-lung transplant,google_complete,1
heart and lung transplant logo,heart-lung transplant,google_complete,0
heart and lung transplant meeting,heart-lung transplant,google_complete,1
heart and lung transplant national recovery program,heart-lung transplant,google_complete,1
