search key,type,source,predicted_relevance
are lung transplants worth it,lung transplant,google_complete,1
ben askren why lung transplant,lung transplant,google_complete,0
can lungs be transplant,lung transplant,google_complete,1
can you give someone a lung transplant,lung transplant,google_complete,1
can you have a single lung transplant,lung transplant,google_complete,1
do they transplant lungs,lung transplant,google_complete,1
does lung transplant qualify for disability,lung transplant,google_complete,1
double lung transplant qualifications,lung transplant,google_complete,1
double lung transplant quality of life,lung transplant,google_complete,1
double lung transplant youtube,lung transplant,google_complete,1
grey's anatomy lung transplant,lung transplant,google_complete,1
how a lung transplant is performed,lung transplant,google_complete,1
how are lung transplants possible,lung transplant,google_complete,1
how long can you wait for a lung transplant,lung transplant,google_complete,1
how long does a lung transplant last,lung transplant,google_complete,1
how long is the wait for a lung transplant,lung transplant,google_complete,1
how long lung transplant,lung transplant,google_complete,1
how long lung transplant last,lung transplant,google_complete,1
how long lung transplant list,lung transplant,google_complete,1
how long lung transplant surgery,lung transplant,google_complete,1
how lung transplant is done,lung transplant,google_complete,1
how lung transplant is performed,lung transplant,google_complete,1
how lung transplant works,lung transplant,google_complete,1
how many lung transplant in india,lung transplant,google_complete,0
how many lung transplants are successful,lung transplant,google_complete,1
how many lung transplants can you have,lung transplant,google_complete,1
how many lung transplants per year,lung transplant,google_complete,1
how many lung transplants per year in us,lung transplant,google_complete,1
how many lung transplants per year uk,lung transplant,google_complete,1
how many lung transplants per year worldwide,lung transplant,google_complete,1
how rare is a lung transplant,lung transplant,google_complete,1
is lung transplant possible,lung transplant,google_complete,1
kylie's lung transplant journey,lung transplant,google_complete,1
lung kidney transplant,lung transplant,google_complete,1
lung transplant 1 year survival,lung transplant,google_complete,1
lung transplant 10 year survival rate,lung transplant,google_complete,1
lung transplant 15 year survival rate,lung transplant,google_complete,1
lung transplant 20 year survival rate,lung transplant,google_complete,1
lung transplant 30 year survival rate,lung transplant,google_complete,1
lung transplant 5 year survival,lung transplant,google_complete,1
lung transplant 5 year survival rate,lung transplant,google_complete,1
lung transplant 70 years old,lung transplant,google_complete,1
lung transplant 75 years old,lung transplant,google_complete,1
lung transplant 80 year old,lung transplant,google_complete,1
lung transplant after care,lung transplant,google_complete,1
lung transplant after pneumonia,lung transplant,google_complete,1
lung transplant age,lung transplant,google_complete,1
lung transplant age limit,lung transplant,google_complete,1
lung transplant age limit usa,lung transplant,google_complete,1
lung transplant alternatives,lung transplant,google_complete,1
lung transplant anastomosis,lung transplant,google_complete,1
lung transplant anatomy,lung transplant,google_complete,1
lung transplant anesthesia,lung transplant,google_complete,1
lung transplant anesthesia considerations,lung transplant,google_complete,1
lung transplant animation,lung transplant,google_complete,1
lung transplant anniversary,lung transplant,google_complete,1
lung transplant anti rejection drugs,lung transplant,google_complete,1
lung transplant arizona,lung transplant,google_complete,1
lung transplant awareness month,lung transplant,google_complete,1
lung transplant azithromycin prophylaxis,lung transplant,google_complete,1
lung transplant baby,lung transplant,google_complete,1
lung transplant bc,lung transplant,google_complete,1
lung transplant because of pneumonia,lung transplant,google_complete,1
lung transplant ben askren,lung transplant,google_complete,1
lung transplant best hospital,lung transplant,google_complete,1
lung transplant biopsy pathology outlines,lung transplant,google_complete,1
lung transplant blood type,lung transplant,google_complete,1
lung transplant bmi,lung transplant,google_complete,1
lung transplant bmi requirements,lung transplant,google_complete,1
lung transplant boston ma,lung transplant,google_complete,1
lung transplant box,lung transplant,google_complete,1
lung transplant bracelet,lung transplant,google_complete,0
lung transplant bronchial anastomosis,lung transplant,google_complete,1
lung transplant bronchiectasis,lung transplant,google_complete,1
lung transplant bronchiolitis obliterans,lung transplant,google_complete,1
lung transplant cancer,lung transplant,google_complete,1
lung transplant candidate,lung transplant,google_complete,1
lung transplant centers,lung transplant,google_complete,1
lung transplant centers in the us,lung transplant,google_complete,1
lung transplant centers near me,lung transplant,google_complete,1
lung transplant chest x ray,lung transplant,google_complete,1
lung transplant clad,lung transplant,google_complete,1
lung transplant color,lung transplant,google_complete,1
lung transplant compatibility,lung transplant,google_complete,1
lung transplant complications,lung transplant,google_complete,1
lung transplant coordinator salary,lung transplant,google_complete,1
lung transplant copd,lung transplant,google_complete,1
lung transplant cost in us,lung transplant,google_complete,1
lung transplant cost medicare,lung transplant,google_complete,1
lung transplant cpt code,lung transplant,google_complete,1
lung transplant criteria,lung transplant,google_complete,1
lung transplant criteria for copd,lung transplant,google_complete,1
lung transplant denial,lung transplant,google_complete,1
lung transplant denied,lung transplant,google_complete,1
lung transplant diagnosis code,lung transplant,google_complete,1
lung transplant diagram,lung transplant,google_complete,1
lung transplant diet,lung transplant,google_complete,1
lung transplant doctors,lung transplant,google_complete,1
lung transplant doctors near me,lung transplant,google_complete,1
lung transplant donation,lung transplant,google_complete,1
lung transplant donor,lung transplant,google_complete,1
lung transplant donor criteria,lung transplant,google_complete,1
lung transplant double,lung transplant,google_complete,1
lung transplant drg,lung transplant,google_complete,1
lung transplant due to pneumonia,lung transplant,google_complete,1
lung transplant duke,lung transplant,google_complete,1
lung transplant duration,lung transplant,google_complete,1
lung transplant ecmo,lung transplant,google_complete,1
lung transplant edmonton,lung transplant,google_complete,1
lung transplant education,lung transplant,google_complete,1
lung transplant eligibility,lung transplant,google_complete,1
lung transplant emory,lung transplant,google_complete,1
lung transplant emphysema,lung transplant,google_complete,1
lung transplant evaluation,lung transplant,google_complete,1
lung transplant evaluation guidelines,lung transplant,google_complete,1
lung transplant evaluation icd 10,lung transplant,google_complete,1
lung transplant evaluation process,lung transplant,google_complete,1
lung transplant exclusion criteria,lung transplant,google_complete,1
lung transplant exercise guidelines,lung transplant,google_complete,1
lung transplant expectancy,lung transplant,google_complete,1
lung transplant experience,lung transplant,google_complete,1
lung transplant explained,lung transplant,google_complete,1
lung transplant fellowship,lung transplant,google_complete,1
lung transplant financial assistance,lung transplant,google_complete,1
lung transplant for cancer,lung transplant,google_complete,1
lung transplant for cf patients,lung transplant,google_complete,1
lung transplant for copd,lung transplant,google_complete,1
lung transplant for covid 19 quizlet,lung transplant,google_complete,1
lung transplant for cystic fibrosis,lung transplant,google_complete,1
lung transplant for interstitial lung disease,lung transplant,google_complete,1
lung transplant for ipf,lung transplant,google_complete,1
lung transplant for pneumonia,lung transplant,google_complete,1
lung transplant for pulmonary fibrosis,lung transplant,google_complete,1
lung transplant for pulmonary hypertension,lung transplant,google_complete,1
lung transplant for stage 4 lung cancer,lung transplant,google_complete,1
lung transplant foundation,lung transplant,google_complete,1
lung transplant foundation careers,lung transplant,google_complete,1
lung transplant from living donor,lung transplant,google_complete,1
lung transplant gainesville fl,lung transplant,google_complete,1
lung transplant gastroparesis,lung transplant,google_complete,1
lung transplant germany,lung transplant,google_complete,1
lung transplant gifts,lung transplant,google_complete,1
lung transplant gofundme,lung transplant,google_complete,1
lung transplant government hospital,lung transplant,google_complete,1
lung transplant grand rapids mi,lung transplant,google_complete,1
lung transplant grants,lung transplant,google_complete,1
lung transplant guidelines,lung transplant,google_complete,1
lung transplant guidelines 2022,lung transplant,google_complete,1
lung transplant guidelines ishlt,lung transplant,google_complete,1
lung transplant guidelines pdf,lung transplant,google_complete,1
lung transplant guidelines uk,lung transplant,google_complete,1
lung transplant gvhd,lung transplant,google_complete,1
lung transplant history,lung transplant,google_complete,1
lung transplant hospital rankings,lung transplant,google_complete,1
lung transplant hospital stay,lung transplant,google_complete,1
lung transplant hospitals,lung transplant,google_complete,1
lung transplant hospitals in florida,lung transplant,google_complete,1
lung transplant hospitals in texas,lung transplant,google_complete,1
lung transplant hospitals in the us,lung transplant,google_complete,1
lung transplant hospitals near me,lung transplant,google_complete,1
lung transplant housing support,lung transplant,google_complete,1
lung transplant houston,lung transplant,google_complete,1
lung transplant houston methodist,lung transplant,google_complete,1
lung transplant how does it work,lung transplant,google_complete,1
lung transplant how long,lung transplant,google_complete,1
lung transplant how long does it last,lung transplant,google_complete,1
lung transplant how long does it take,lung transplant,google_complete,1
lung transplant icd 10,lung transplant,google_complete,1
lung transplant icd 10 code,lung transplant,google_complete,1
lung transplant icu,lung transplant,google_complete,1
lung transplant images,lung transplant,google_complete,1
lung transplant immunosuppression guidelines,lung transplant,google_complete,1
lung transplant in cystic fibrosis,lung transplant,google_complete,1
lung transplant in india,lung transplant,google_complete,0
lung transplant in kenya,lung transplant,google_complete,1
lung transplant in kerala,lung transplant,google_complete,1
lung transplant in kolkata,lung transplant,google_complete,0
lung transplant in mexico,lung transplant,google_complete,1
lung transplant in usa,lung transplant,google_complete,1
lung transplant incision,lung transplant,google_complete,1
lung transplant incision site,lung transplant,google_complete,1
lung transplant indications,lung transplant,google_complete,1
lung transplant infection,lung transplant,google_complete,1
lung transplant information,lung transplant,google_complete,1
lung transplant insurance,lung transplant,google_complete,1
