Category: All categories
"liver transplant: (9/24/20 - 9/24/25, United States)"

TOP
Liver,100
Organ transplantation,100
Liver transplantation,95
Patient,6
Kidney,5
Donation,5
Disease,5
Cirrhosis,4
Hospital,4
Michelle Trachtenberg,4
Surgery,4
Liver disease,3
Kidney transplantation,3
Cancer,3
ICD-10,2
Alcoholic beverage,2
Liver failure,2
Life,2
Heart,2
Survival rate,2
Life expectancy,2
Model for End-Stage Liver Disease,2
Organ,2
Alcoholism,1
Organ donation,1

RISING
Michelle Trachtenberg,Breakout
Waiting list,Breakout
extant,Breakout
Mayo,Breakout
Diagnosis,Breakout
live,Breakout
Organ donation,"+1,500%"
ICD-10-CM,"+1,150%"
"University of California, San Francisco",+650%
Cause of death,+550%
Chronic condition,+400%
Life,+130%
Alcoholic beverage,+70%
Survival rate,+50%

